"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Acidification Potential","111,112","1111A0/US",55.7500311567397,"Thousand MT SO2 eq",461.010407736146,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","1111B0/US",533.902227635369,"Thousand MT SO2 eq",2138.00100476818,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","111200/US",16.1239322061331,"Thousand MT SO2 eq",169.947189063479,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","111300/US",8.08324522093753,"Thousand MT SO2 eq",105.038887003033,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","111400/US",29.8957174037612,"Thousand MT SO2 eq",623.257779859347,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","111900/US",41.0504286185136,"Thousand MT SO2 eq",168.189499003767,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","112120/US",0.25801472367094,"Thousand MT SO2 eq",5.37902073645976,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","1121A0/US",599.648940642802,"Thousand MT SO2 eq",2060.77846179075,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","112300/US",219.437913462104,"Thousand MT SO2 eq",1603.70221239727,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","112A00/US",162.341342862398,"Thousand MT SO2 eq",557.909003341841,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","113000/US",0.0132608529438585,"Thousand MT SO2 eq",0.276458653030708,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","114000/US",1.78114053324767e-05,"Thousand MT SO2 eq",0.000371327330726564,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","115000/US",66.5773309182679,"Thousand MT SO2 eq",204.063246059984,"kg SO2 eq / million $","Agriculture"
"Acidification Potential","111,112","212100/US",0.219311538979247,"Thousand MT SO2 eq",2.63458123337159,"kg SO2 eq / million $","Fuels"
"Acidification Potential","111,112","212310/US",0.235539845918705,"Thousand MT SO2 eq",0.721942812541485,"kg SO2 eq / million $","Minerals"
"Acidification Potential","111,112","2123A0/US",0.589751527091956,"Thousand MT SO2 eq",2.69651464414948,"kg SO2 eq / million $","Minerals"
"Acidification Potential","111,112","221100/US",8.88188533690251,"Thousand MT SO2 eq",27.2234757384001,"kg SO2 eq / million $","Purchased Electricity"
"Acidification Potential","111,112","221200/US",0.925448649087381,"Thousand MT SO2 eq",2.83655191323959,"kg SO2 eq / million $","Fuels"
"Acidification Potential","111,112","221300/US",2.3767829362374,"Thousand MT SO2 eq",7.28497274461181,"kg SO2 eq / million $","Utilities"
"Acidification Potential","111,112","230301/US",0.782375415340143,"Thousand MT SO2 eq",2.88436554344488,"kg SO2 eq / million $","Construction"
