"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon dioxide","111/112","1111A0/US",2883928.10804586,"tons",25642.3774357524,"kg / million $","Agriculture"
"Carbon dioxide","111/112","1111B0/US",10290640.1905079,"tons",40903.2082671231,"kg / million $","Agriculture"
"Carbon dioxide","111/112","111200/US",287350.295693756,"tons",3400.09215149024,"kg / million $","Agriculture"
"Carbon dioxide","111/112","111300/US",157976.331690954,"tons",2273.26808089694,"kg / million $","Agriculture"
"Carbon dioxide","111/112","111400/US",995973.388602747,"tons",21053.5869568488,"kg / million $","Agriculture"
"Carbon dioxide","111/112","111900/US",1161937.37461653,"tons",4693.89403140773,"kg / million $","Agriculture"
"Carbon dioxide","111/112","112120/US",4227.38394874458,"tons",89.3614192742049,"kg / million $","Agriculture"
"Carbon dioxide","111/112","1121A0/US",7648047.42552386,"tons",26858.9820287351,"kg / million $","Agriculture"
"Carbon dioxide","111/112","112300/US",2995784.362063,"tons",22700.3860130876,"kg / million $","Agriculture"
"Carbon dioxide","111/112","112A00/US",428658.850674249,"tons",1505.39604766236,"kg / million $","Agriculture"
"Carbon dioxide","111/112","113000/US",653.716145625921,"tons",13.8187123014798,"kg / million $","Agriculture"
"Carbon dioxide","111/112","114000/US",14.9624250542975,"tons",0.316286278901404,"kg / million $","Agriculture"
"Carbon dioxide","111/112","115000/US",4233999.27655822,"tons",13243.2704972894,"kg / million $","Agriculture"
"Carbon dioxide","111/112","212100/US",149888.34194113,"tons",1821.95510650544,"kg / million $","Fuels"
"Carbon dioxide","111/112","212310/US",111643.54466068,"tons",349.20309727107,"kg / million $","Minerals"
"Carbon dioxide","111/112","2123A0/US",154706.129323578,"tons",750.100836850778,"kg / million $","Minerals"
"Carbon dioxide","111/112","221100/US",8803796.93908354,"tons",27536.8644753921,"kg / million $","Purchased Electricity"
"Carbon dioxide","111/112","221200/US",402807.665745699,"tons",1259.91775798988,"kg / million $","Fuels"
"Carbon dioxide","111/112","221300/US",1125772.18098969,"tons",3521.23478001376,"kg / million $","Utilities"
"Carbon dioxide","111/112","230301/US",351036.093431493,"tons",1362.56337596152,"kg / million $","Construction"
"Carbon dioxide","111/112","311111/US",22.4833117745914,"tons",0.727950260963486,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311119/US",10399657.1916781,"tons",61669.6412979291,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311210/US",331553.056519127,"tons",2696.09123996776,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311221/US",1180.20510461101,"tons",24.9480067250625,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311224/US",473769.379926432,"tons",2560.14386998276,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311225/US",0.934430886521686,"tons",0.0197526582031966,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311230/US",23.1633878751208,"tons",0.489644006983188,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311300/US",102300.295896442,"tons",831.875701910764,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311410/US",36.2648906910672,"tons",0.766592800954374,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311420/US",304.367626687621,"tons",6.43393726041954,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311513/US",134.801940209321,"tons",2.84953835376103,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311514/US",20068.5897468432,"tons",243.942051103512,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","31151A/US",239.320191272009,"tons",5.05891875740126,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311520/US",125.476183824506,"tons",2.6524039471264,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311615/US",143.270630117416,"tons",3.02855548557496,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","31161A/US",11078.7797127059,"tons",134.667172976944,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311700/US",106.193544155901,"tons",2.24479392896106,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311810/US",149.350912810505,"tons",3.15708478351209,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","3118A0/US",29.6119045870795,"tons",0.625957294960066,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311910/US",50.6527914039542,"tons",1.07073437968695,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311920/US",142.341915870374,"tons",3.00892366972335,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311930/US",7.76255651216424,"tons",0.164090386757801,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311940/US",131.337371961093,"tons",2.77630187001889,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","311990/US",19.4822293106341,"tons",0.411829084590436,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","312110/US",13.4576876890685,"tons",0.284478080681859,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","312120/US",12742.0059743196,"tons",103.614218030887,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","312130/US",1.45663373051262,"tons",0.0307913497093028,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","312140/US",205353.229117515,"tons",1669.87162759239,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","312200/US",158.746777879832,"tons",3.3557011968978,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","313100/US",580.316640486084,"tons",12.1544916314929,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","313200/US",34.4903431007118,"tons",0.729081164167544,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","313300/US",269.025285965412,"tons",5.686845970463,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","314120/US",34.9755214625847,"tons",0.73933720609413,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","314900/US",22761.7012013312,"tons",110.448245561844,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","315000/US",65.3956635466907,"tons",1.38237959451167,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","316000/US",6169.36449176363,"tons",56.3994846984476,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","321100/US",1578.25280455911,"tons",17.9317992886058,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","321200/US",5.06526633495186,"tons",0.10707316727821,"kg / million $","Manufacturing"
"Carbon dioxide","111/112","321910/US",4736.61819401583,"tons",48.8264001242408,"kg / million $","Manufacturing"
