"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon dioxide","111-112","1111A0/US",1928592.0782813,"tons",6032.32662627444,"kg / million $","Agriculture"
"Carbon dioxide","111-112","1111B0/US",5563615.67395862,"tons",17402.0972845058,"kg / million $","Agriculture"
"Carbon dioxide","111-112","111200/US",81200.5353332637,"tons",253.982247917923,"kg / million $","Agriculture"
"Carbon dioxide","111-112","111300/US",41889.459396689,"tons",131.02350887186,"kg / million $","Agriculture"
"Carbon dioxide","111-112","111400/US",509726.585912252,"tons",1594.34298779171,"kg / million $","Agriculture"
"Carbon dioxide","111-112","111900/US",608399.621760204,"tons",1902.97641429182,"kg / million $","Agriculture"
"Carbon dioxide","111-112","112120/US",16172.3473911861,"tons",50.5845081890781,"kg / million $","Agriculture"
"Carbon dioxide","111-112","1121A0/US",1475414.42367381,"tons",4614.85962373568,"kg / million $","Agriculture"
"Carbon dioxide","111-112","112300/US",518968.451160432,"tons",1623.2500596608,"kg / million $","Agriculture"
"Carbon dioxide","111-112","112A00/US",134950.763307219,"tons",422.104338134409,"kg / million $","Agriculture"
"Carbon dioxide","111-112","113000/US",10105.8521947832,"tons",31.6094844328675,"kg / million $","Agriculture"
"Carbon dioxide","111-112","114000/US",49735.7706437823,"tons",155.565511707451,"kg / million $","Agriculture"
"Carbon dioxide","111-112","115000/US",856017.076293519,"tons",2677.48408801553,"kg / million $","Agriculture"
"Carbon dioxide","111-112","211000/US",1445754.64039972,"tons",4522.08857982823,"kg / million $","Fuels"
"Carbon dioxide","111-112","212100/US",149805.792524803,"tons",468.568486407369,"kg / million $","Fuels"
"Carbon dioxide","111-112","212230/US",11384.4600345189,"tons",35.608764634762,"kg / million $","Minerals"
"Carbon dioxide","111-112","2122A0/US",116501.44387822,"tons",364.397826694535,"kg / million $","Minerals"
"Carbon dioxide","111-112","212310/US",63686.6575696665,"tons",199.201647939096,"kg / million $","Minerals"
"Carbon dioxide","111-112","2123A0/US",135902.406791204,"tons",425.08092628481,"kg / million $","Minerals"
"Carbon dioxide","111-112","213111/US",133.988299697522,"tons",0.419093906366604,"kg / million $","Fuels"
"Carbon dioxide","111-112","21311A/US",43243.7592623181,"tons",135.259541587847,"kg / million $","Minerals"
"Carbon dioxide","111-112","221100/US",19980001.1053893,"tons",62494.2381638532,"kg / million $","Purchased Electricity"
"Carbon dioxide","111-112","221200/US",657244.088186491,"tons",2055.75406939452,"kg / million $","Fuels"
"Carbon dioxide","111-112","221300/US",669918.046946117,"tons",2095.39617917345,"kg / million $","Utilities"
"Carbon dioxide","111-112","230301/US",219126.517061959,"tons",685.392591974979,"kg / million $","Construction"
"Carbon dioxide","111-112","230302/US",6993.98137295022,"tons",21.8760517243819,"kg / million $","Construction"
"Carbon dioxide","111-112","2334A0/US",3584.2947379093,"tons",11.2110989293154,"kg / million $","Construction"
"Carbon dioxide","111-112","311111/US",4044.62892910647,"tons",12.6509504302185,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311119/US",1329406.34811254,"tons",4158.16978674111,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311210/US",115789.655352583,"tons",362.171466375092,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311221/US",245907.400766105,"tons",769.158899875427,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311224/US",361176.976659296,"tons",1129.70364113535,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311225/US",28701.0024847726,"tons",89.7721314109896,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311230/US",72.2726603280334,"tons",0.226057287156861,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311300/US",115106.478141227,"tons",360.034597656748,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311410/US",1663.40523144286,"tons",5.20286471199192,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311420/US",3227.36315756867,"tons",10.0946742067966,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311513/US",1995.3780903037,"tons",6.2412225577274,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311514/US",30194.3727618071,"tons",94.4431540634678,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","31151A/US",2188.73080554786,"tons",6.84599883238121,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311520/US",419.615073855093,"tons",1.31248863422583,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311615/US",1971.09845711352,"tons",6.16527976017127,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","31161A/US",52749.4880657802,"tons",164.991936327522,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311700/US",24709.6959264826,"tons",77.2879648024378,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311810/US",904.559985973164,"tons",2.829318521992,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","3118A0/US",132.411748489724,"tons",0.414162707107008,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311910/US",1465.13869759897,"tons",4.58271880105803,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311920/US",237.795684421846,"tons",0.743786752473544,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311930/US",512.533278786127,"tons",1.60312187283719,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311940/US",3321.43809882762,"tons",10.3889255310722,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","311990/US",428.818533866928,"tons",1.3412755806768,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","312110/US",436.489589625992,"tons",1.36526941246122,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","312120/US",3637.68110707718,"tons",11.3780829275585,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","312130/US",330.544904949673,"tons",1.03389143498101,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","312140/US",408220.001857091,"tons",1276.84667707172,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","312200/US",66.2698165050656,"tons",0.207281354685477,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","313100/US",878.153942837758,"tons",2.74672465525674,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","313200/US",7781.89037172407,"tons",24.3405046721615,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","313300/US",10382.4832257236,"tons",32.4747419190865,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","314110/US",75.9317167803488,"tons",0.237502228735183,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","314120/US",318.776598892721,"tons",0.997082061566617,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","314900/US",11665.5737158041,"tons",36.4880431321298,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","315000/US",1655.99914307831,"tons",5.17969965571012,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","316000/US",1491.20460735922,"tons",4.66424878516174,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321100/US",26302.685229268,"tons",82.2705797860723,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321200/US",18668.7889211655,"tons",58.3929768029554,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321910/US",4931.93623082505,"tons",15.4263053236259,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","3219A0/US",24325.472773901,"tons",76.086176420203,"kg / million $","Manufacturing"
