"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon monoxide","111,112","1111A0/US",11501.5780191753,"tons",95.1093131647176,"kg / million $","Agriculture"
"Carbon monoxide","111,112","1111B0/US",117778.85675656,"tons",471.643123126184,"kg / million $","Agriculture"
"Carbon monoxide","111,112","111200/US",1461.82579908604,"tons",15.4077294718871,"kg / million $","Agriculture"
"Carbon monoxide","111,112","111300/US",740.773108289499,"tons",9.62608218478392,"kg / million $","Agriculture"
"Carbon monoxide","111,112","111400/US",3871.05916515648,"tons",80.7027879075435,"kg / million $","Agriculture"
"Carbon monoxide","111,112","111900/US",20399.4528768248,"tons",83.5794868596513,"kg / million $","Agriculture"
"Carbon monoxide","111,112","112120/US",20.3393890439146,"tons",0.424030047113398,"kg / million $","Agriculture"
"Carbon monoxide","111,112","1121A0/US",47359.1254784021,"tons",162.756338150979,"kg / million $","Agriculture"
"Carbon monoxide","111,112","112300/US",17454.2343567598,"tons",127.559517004203,"kg / million $","Agriculture"
"Carbon monoxide","111,112","112A00/US",2297.60401360032,"tons",7.89604140695377,"kg / million $","Agriculture"
"Carbon monoxide","111,112","113000/US",13.4955676545351,"tons",0.281351921437714,"kg / million $","Agriculture"
"Carbon monoxide","111,112","114000/US",0.0224510174835459,"tons",0.00046805270211103,"kg / million $","Agriculture"
"Carbon monoxide","111,112","115000/US",60893.3866772545,"tons",186.641638791452,"kg / million $","Agriculture"
"Carbon monoxide","111,112","212100/US",326.248640725182,"tons",3.91921259714879,"kg / million $","Fuels"
"Carbon monoxide","111,112","212310/US",244.946619502284,"tons",0.750775100137585,"kg / million $","Minerals"
"Carbon monoxide","111,112","2123A0/US",668.577609536448,"tons",3.05693030377585,"kg / million $","Minerals"
"Carbon monoxide","111,112","221100/US",3224.31513825925,"tons",9.882706386071,"kg / million $","Purchased Electricity"
"Carbon monoxide","111,112","221200/US",594.036766875505,"tons",1.82075594283597,"kg / million $","Fuels"
"Carbon monoxide","111,112","221300/US",3311.64099345307,"tons",10.1503650204745,"kg / million $","Utilities"
"Carbon monoxide","111,112","230301/US",1276.27725358642,"tons",4.70522215032368,"kg / million $","Construction"
"Carbon monoxide","111,112","311111/US",0.0964859473632848,"tons",0.00314232621249851,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311119/US",56275.7102058671,"tons",353.760190669111,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311210/US",2291.3555451796,"tons",18.885480915841,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311221/US",3.26543791189629,"tons",0.068076960848612,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311224/US",1704.35679657859,"tons",9.6651579751334,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311225/US",0.00349724600194842,"tons",7.29096328199207e-05,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311230/US",0.0499206610488325,"tons",0.00104073235487876,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311300/US",397.666295390179,"tons",3.27758791003155,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311410/US",0.15477041312065,"tons",0.00322661144961699,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311420/US",0.820188688375866,"tons",0.0170990705484317,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311513/US",0.525487776570929,"tons",0.0109552261464586,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311514/US",65.0035156923037,"tons",0.780884778535637,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","31151A/US",0.871829544919123,"tons",0.0181756650708009,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311520/US",0.405418970595234,"tons",0.00845206435802932,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311615/US",0.62550634921964,"tons",0.0130403861274629,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","31161A/US",50.2814878655088,"tons",0.604029614369749,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311700/US",0.241809102029874,"tons",0.00504117034709326,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311810/US",0.522684345934804,"tons",0.0108967809875529,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","3118A0/US",0.126684659539701,"tons",0.00264108730292646,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311910/US",0.240493086878643,"tons",0.00501373442139396,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311920/US",0.555944285955259,"tons",0.0115901751649008,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311930/US",0.0272166347572516,"tons",0.00056740499399801,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311940/US",0.511810446565193,"tons",0.0106700848929924,"kg / million $","Manufacturing"
"Carbon monoxide","111,112","311990/US",0.0810199644258517,"tons",0.00168908216753436,"kg / million $","Manufacturing"
