"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon monoxide","111-112","1111A0/US",10494.4899956199,"tons",32.8250811266242,"kg / million $","Agriculture"
"Carbon monoxide","111-112","1111B0/US",172540.441303466,"tons",539.678820578575,"kg / million $","Agriculture"
"Carbon monoxide","111-112","111200/US",752.099643676321,"tons",2.35244702975413,"kg / million $","Agriculture"
"Carbon monoxide","111-112","111300/US",214.898145916847,"tons",0.672166925369961,"kg / million $","Agriculture"
"Carbon monoxide","111-112","111400/US",2554.14608598437,"tons",7.98895920780135,"kg / million $","Agriculture"
"Carbon monoxide","111-112","111900/US",23713.6466291725,"tons",74.1724823917666,"kg / million $","Agriculture"
"Carbon monoxide","111-112","112120/US",116.011239674292,"tons",0.362864546585711,"kg / million $","Agriculture"
"Carbon monoxide","111-112","1121A0/US",11909.4257105528,"tons",37.2507730517216,"kg / million $","Agriculture"
"Carbon monoxide","111-112","112300/US",3673.78368538187,"tons",11.4910060007356,"kg / million $","Agriculture"
"Carbon monoxide","111-112","112A00/US",1018.65580152978,"tons",3.18619192921973,"kg / million $","Agriculture"
"Carbon monoxide","111-112","113000/US",597.635432155685,"tons",1.86930775605515,"kg / million $","Agriculture"
"Carbon monoxide","111-112","114000/US",8.57504482854668,"tons",0.0268213645712145,"kg / million $","Agriculture"
"Carbon monoxide","111-112","115000/US",63610.3546009534,"tons",198.962984493873,"kg / million $","Agriculture"
"Carbon monoxide","111-112","211000/US",19051.8975595726,"tons",59.5912791636487,"kg / million $","Fuels"
"Carbon monoxide","111-112","212100/US",320.762720557868,"tons",1.00329433151142,"kg / million $","Fuels"
"Carbon monoxide","111-112","212230/US",20.7403536119266,"tons",0.06487249882467,"kg / million $","Minerals"
"Carbon monoxide","111-112","2122A0/US",66.4518452793062,"tons",0.207850711489316,"kg / million $","Minerals"
"Carbon monoxide","111-112","212310/US",103.646749850469,"tons",0.324190405991389,"kg / million $","Minerals"
"Carbon monoxide","111-112","2123A0/US",1184.02785608595,"tons",3.70344918604199,"kg / million $","Minerals"
"Carbon monoxide","111-112","213111/US",0.554173184761353,"tons",0.00173336481864135,"kg / million $","Fuels"
"Carbon monoxide","111-112","21311A/US",143.809805014027,"tons",0.449813999380597,"kg / million $","Minerals"
"Carbon monoxide","111-112","221100/US",4610.50335819843,"tons",14.4209148639526,"kg / million $","Purchased Electricity"
"Carbon monoxide","111-112","221200/US",405.477949113721,"tons",1.26826997598456,"kg / million $","Fuels"
"Carbon monoxide","111-112","221300/US",1205.85859750033,"tons",3.77173224298714,"kg / million $","Utilities"
"Carbon monoxide","111-112","230301/US",1139.71703224901,"tons",3.56485203764867,"kg / million $","Construction"
"Carbon monoxide","111-112","230302/US",29.7985424100791,"tons",0.093205060224389,"kg / million $","Construction"
"Carbon monoxide","111-112","2334A0/US",17.3845257855643,"tons",0.0543760077428453,"kg / million $","Construction"
"Carbon monoxide","111-112","311111/US",2.60951036264031,"tons",0.00816212978336114,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311119/US",1008.27252682959,"tons",3.15371471169548,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311210/US",109.849427564493,"tons",0.343591386815624,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311221/US",202.09788546965,"tons",0.632129764174273,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311224/US",444.933845396692,"tons",1.39168168984134,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311225/US",34.7433404354675,"tons",0.108671595178054,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311230/US",0.0304134528526762,"tons",9.51284014417593e-05,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311300/US",411.489950026616,"tons",1.28707455036421,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311410/US",1.59007439910848,"tons",0.00497349763255656,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311420/US",1.59379424464728,"tons",0.00498513271264532,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311513/US",1.3212537367419,"tons",0.00413266972625728,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311514/US",15.5916141338024,"tons",0.0487680677241764,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","31151A/US",1.39717292541448,"tons",0.00437013276908118,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311520/US",0.371471071092388,"tons",0.00116190191709086,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311615/US",1.41006700437161,"tons",0.00441046337952509,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","31161A/US",31.6336692524978,"tons",0.0989450425870555,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311700/US",21.6563540946169,"tons",0.0677376013850503,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311810/US",1.20253991016884,"tons",0.00376135192141501,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","3118A0/US",0.116565312019954,"tons",0.000364597595995825,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311910/US",1.59651648205012,"tons",0.00499364743452616,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311920/US",0.421738308579584,"tons",0.00131912977182389,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311930/US",0.433108351021018,"tons",0.00135469344054042,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311940/US",5.54064884102348,"tons",0.0173302607155412,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","311990/US",0.527490207995593,"tons",0.00164990474793744,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","312110/US",0.253122300214259,"tons",0.000791725947898242,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","312120/US",3.16537848392765,"tons",0.00990079609154542,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","312130/US",0.644995073440336,"tons",0.00201744111631805,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","312140/US",294.498236203974,"tons",0.921143237935136,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","312200/US",0.183506728982199,"tons",0.000573979609169786,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","313100/US",0.831097774090336,"tons",0.00259954050840568,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","313200/US",5.35274343506403,"tons",0.0167425227504448,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","313300/US",6.11120138190077,"tons",0.0191148575324533,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","314110/US",0.0769286157650084,"tons",0.000240620368831572,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","314120/US",0.1527075906143,"tons",0.000477644845310047,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","314900/US",8.31254688063812,"tons",0.0260003131014177,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","315000/US",3.02966261997306,"tons",0.00947629864132736,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","316000/US",2.13118954420778,"tons",0.00666601899797243,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","321100/US",353.193024900796,"tons",1.10473112086107,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","321200/US",174.45588479657,"tons",0.545670020539779,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","321910/US",32.3490649974939,"tons",0.101182685709965,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","3219A0/US",154.671089989434,"tons",0.483786356360871,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322110/US",201.470537811014,"tons",0.630167521340374,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322120/US",761.461267474963,"tons",2.38172868715678,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322130/US",1650.80248678654,"tons",5.16344534850359,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322210/US",153.90847320316,"tons",0.481401013396286,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322220/US",114.275073443744,"tons",0.357434097141209,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322230/US",4.67287836826159,"tons",0.0146160138889125,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322291/US",12.7249194712849,"tons",0.0398015067096181,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","322299/US",8.41906182292814,"tons",0.02633347475323,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","323110/US",60.7097979646037,"tons",0.189890508657478,"kg / million $","Manufacturing"
"Carbon monoxide","111-112","323120/US",1.27397844258898,"tons",0.00398480019029104,"kg / million $","Manufacturing"
