"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Commercial RCRA Hazardous Waste","111/112","1111A0/US",26.0361759423096,"Thousand MT",231.500032415421,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","1111B0/US",110.531462021106,"Thousand MT",439.340150604933,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","111200/US",3.19317744420669,"Thousand MT",37.7834918880118,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","111300/US",1.89827832474992,"Thousand MT",27.3160889237156,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","111400/US",7.66011165600214,"Thousand MT",161.924835235871,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","111900/US",18.1996610424701,"Thousand MT",73.5214153594871,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","112120/US",0.0449200380833416,"Thousand MT",0.949551402391739,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","1121A0/US",82.9535782785048,"Thousand MT",291.322548650255,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","112300/US",38.7969864950294,"Thousand MT",293.981963700227,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","112A00/US",4.80472171552559,"Thousand MT",16.8735792327459,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","113000/US",0.00682953240911785,"Thousand MT",0.144367466134509,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","114000/US",8.83659684089608e-05,"Thousand MT",0.00186794207677998,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","115000/US",37.4688854827225,"Thousand MT",117.196662840013,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111/112","212100/US",0.740312198346748,"Thousand MT",8.99880252672281,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111/112","212310/US",0.67869364627734,"Thousand MT",2.12284484605506,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111/112","2123A0/US",1.58340774448381,"Thousand MT",7.67723605655673,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111/112","221100/US",3.40837588266204,"Thousand MT",10.660852971903,"kg / million $","Purchased Electricity"
"Commercial RCRA Hazardous Waste","111/112","221200/US",0.77987280191241,"Thousand MT",2.43931701320474,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111/112","221300/US",9.93515703909723,"Thousand MT",31.0755773696704,"kg / million $","Utilities"
"Commercial RCRA Hazardous Waste","111/112","230301/US",3.72916532274543,"Thousand MT",14.474933452022,"kg / million $","Construction"
"Commercial RCRA Hazardous Waste","111/112","311111/US",0.000362568481365758,"Thousand MT",0.0117390099498425,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311119/US",213.546204405893,"Thousand MT",1266.32230116046,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311210/US",3.56704119730703,"Thousand MT",29.0061223552882,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311221/US",0.0445644160989684,"Thousand MT",0.942034014419886,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311224/US",4.33485147681961,"Thousand MT",23.4245688005179,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311225/US",8.01339066024004e-06,"Thousand MT",0.000169392695643453,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311230/US",0.000114007787842123,"Thousand MT",0.00240997691560761,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311300/US",1.26007064539599,"Thousand MT",10.2465212188345,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311410/US",0.000266442328988978,"Thousand MT",0.00563224560670685,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111/112","311420/US",0.00249753679104632,"Thousand MT",0.0527946917155991,"kg / million $","Manufacturing"
