"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Commercial RCRA Hazardous Waste","111,112","1111A0/US",25.0848832008902,"Thousand MT",207.432928601296,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","1111B0/US",109.354424817783,"Thousand MT",437.907650566951,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111200/US",3.81111727489474,"Thousand MT",40.1693991130318,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111300/US",2.48015725548867,"Thousand MT",32.2287584489256,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111400/US",8.05221931329053,"Thousand MT",167.870476709504,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111900/US",19.5713414636031,"Thousand MT",80.1865955209666,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","112120/US",0.0446575115572124,"Thousand MT",0.931007646723659,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","1121A0/US",74.3334692062463,"Thousand MT",255.45748845351,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","112300/US",39.1495602135724,"Thousand MT",286.113895900349,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","112A00/US",4.73376076342249,"Thousand MT",16.2682389033723,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","113000/US",0.00717467273308695,"Thousand MT",0.149575624443071,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","114000/US",8.78624900864863e-05,"Thousand MT",0.00183173328020982,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","115000/US",41.3583940262457,"Thousand MT",126.76579280693,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","212100/US",0.746986086504284,"Thousand MT",8.97351564014195,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","212310/US",0.7188572516328,"Thousand MT",2.20333771568631,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","2123A0/US",1.73572785515221,"Thousand MT",7.93625003864775,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","221100/US",3.56283336209326,"Thousand MT",10.9202836913377,"kg / million $","Purchased Electricity"
"Commercial RCRA Hazardous Waste","111,112","221200/US",0.814864610225786,"Thousand MT",2.4976056439723,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","221300/US",11.1017762318319,"Thousand MT",34.0275655940661,"kg / million $","Utilities"
"Commercial RCRA Hazardous Waste","111,112","230301/US",4.07364224473959,"Thousand MT",15.0182036611413,"kg / million $","Construction"
"Commercial RCRA Hazardous Waste","111,112","311111/US",0.000360449367609415,"Thousand MT",0.0117390099498425,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311119/US",206.036284741399,"Thousand MT",1295.18463842103,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311210/US",3.41165175047403,"Thousand MT",28.119025072568,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311221/US",0.0443055174015737,"Thousand MT",0.923669368367469,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311224/US",4.21207821059052,"Thousand MT",23.8860791300852,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311225/US",7.97263316531954e-06,"Thousand MT",0.000166211286357185,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311230/US",0.000113350969232509,"Thousand MT",0.00236311015636876,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311300/US",1.18430870602625,"Thousand MT",9.76113877794987,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311410/US",0.000264980409273965,"Thousand MT",0.00552423945409433,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311420/US",0.00248486757431374,"Thousand MT",0.0518038428947825,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311513/US",0.00119542337267992,"Thousand MT",0.0249218611209752,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311514/US",0.212482057635535,"Thousand MT",2.5525389319699,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","31151A/US",0.00250286166470685,"Thousand MT",0.0521789787939326,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311520/US",0.00151084451551247,"Thousand MT",0.031497675260086,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311615/US",0.00129143940214563,"Thousand MT",0.0269235771710534,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","31161A/US",0.0824767607879045,"Thousand MT",0.990790211825803,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311700/US",0.000439647679149315,"Thousand MT",0.00916565515810109,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311810/US",0.00165266076544418,"Thousand MT",0.0344542218412125,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","3118A0/US",0.000322941979705798,"Thousand MT",0.00673260649933408,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311910/US",0.000667245581112863,"Thousand MT",0.0139105542740059,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311920/US",0.00280511980468463,"Thousand MT",0.0584803742320387,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311930/US",0.000163877686915917,"Thousand MT",0.00341647741501761,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311940/US",0.00263195784012388,"Thousand MT",0.0548703407235389,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311990/US",0.000236434020016849,"Thousand MT",0.00492911210019606,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","312110/US",0.000236603618646496,"Thousand MT",0.00493264784626809,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","312120/US",0.130532437022854,"Thousand MT",1.07585566695635,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","312130/US",1.22998430155637e-05,"Thousand MT",0.000256423779599089,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","312140/US",11.6435049207775,"Thousand MT",95.9664205921432,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","312200/US",0.00193480961541793,"Thousand MT",0.0403363842743637,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","313100/US",0.0120834236602011,"Thousand MT",0.244504338876877,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","313200/US",0.000873204734303378,"Thousand MT",0.0182043346448051,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","313300/US",0.00948867764882539,"Thousand MT",0.197817369134747,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","314120/US",0.000765260947330773,"Thousand MT",0.0159539519525439,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","314900/US",0.63882876774278,"Thousand MT",3.01429689450591,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","315000/US",0.00112493951536286,"Thousand MT",0.0234524328468831,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","316000/US",0.0923997137569935,"Thousand MT",0.897274481765355,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","321100/US",0.0155963227401294,"Thousand MT",0.181242176300596,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","321200/US",5.08716761365924e-05,"Thousand MT",0.00106055885859515,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","321910/US",0.0625243935787947,"Thousand MT",0.615667077529192,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","3219A0/US",1.41581381146986,"Thousand MT",4.33954858508489,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322120/US",0.00584711280575952,"Thousand MT",0.121899016393778,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322130/US",0.000223409328822383,"Thousand MT",0.0129425645140821,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322210/US",0.993680581758063,"Thousand MT",5.90576160346973,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322220/US",4.04156237477374,"Thousand MT",28.0087904792208,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322230/US",0.00709925293927918,"Thousand MT",0.0728973842391485,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322291/US",0.0448826361577785,"Thousand MT",0.283428926880158,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","322299/US",0.0349501371846468,"Thousand MT",0.419854677774826,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","323110/US",0.0925349707165079,"Thousand MT",0.338570895985101,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","323120/US",2.21210052746672e-05,"Thousand MT",0.00046117269739817,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","324110/US",110.532146551948,"Thousand MT",338.787216433446,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","324121/US",0.0183687069767635,"Thousand MT",0.382945803728535,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","324122/US",0.000791325885209957,"Thousand MT",0.0257716707943114,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","324190/US",0.449265632687882,"Thousand MT",3.38794925474175,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325110/US",0.00406607493166294,"Thousand MT",0.0847684235311629,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325120/US",0.00111149121047046,"Thousand MT",0.0231720662466471,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325130/US",0.01196489672913,"Thousand MT",0.249440910580247,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325180/US",42.9310450003388,"Thousand MT",147.538612815741,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325190/US",68.9623423099707,"Thousand MT",958.785421204079,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325211/US",0.000125160006056649,"Thousand MT",0.00260930174206942,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","3252A0/US",1.14740848111099e-06,"Thousand MT",6.6471746587585e-05,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325310/US",98.5566208295713,"Thousand MT",417.665161507153,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325320/US",523.431931315822,"Thousand MT",1604.34816960265,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325411/US",1.35977129133732e-05,"Thousand MT",0.000442846351052996,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","325412/US",0.124350094763875,"Thousand MT",0.70517118981679,"kg / million $","Manufacturing"
