"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Commercial RCRA Hazardous Waste","111,112","1111B0/US",0.00193399237479956,"Thousand MT",0.0059277948877426,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111200/US",0.000139043527070102,"Thousand MT",0.000426176193701524,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111300/US",0.000772333312497258,"Thousand MT",0.00236724483566231,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111400/US",0.00105417045691382,"Thousand MT",0.00323109145968099,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","111900/US",2.05975738668581,"Thousand MT",6.31327168911491,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","112120/US",6.75491113900248e-06,"Thousand MT",2.07041807603219e-05,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","112A00/US",0.00390107425842519,"Thousand MT",0.0119570109722866,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","113000/US",0.0189835621166301,"Thousand MT",0.0581856805292558,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","114000/US",0.000167889703775195,"Thousand MT",0.000514591340023438,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","115000/US",0.162176976422911,"Thousand MT",0.497081510907671,"kg / million $","Agriculture"
"Commercial RCRA Hazardous Waste","111,112","211000/US",0.576523538854175,"Thousand MT",1.76707691861362,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","212230/US",0.00262040216526925,"Thousand MT",0.00803167931865428,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","2122A0/US",0.0281409473525818,"Thousand MT",0.0862535788798838,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","212310/US",5.21674722486964e-05,"Thousand MT",0.000159896222617902,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","2123A0/US",0.014349827860111,"Thousand MT",0.043983025650744,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","213111/US",1.18969633335731e-05,"Thousand MT",3.6464858573046e-05,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","21311A/US",0.00800597523966624,"Thousand MT",0.0245387622596009,"kg / million $","Minerals"
"Commercial RCRA Hazardous Waste","111,112","221100/US",0.449026112599182,"Thousand MT",1.37629017022584,"kg / million $","Purchased Electricity"
"Commercial RCRA Hazardous Waste","111,112","221200/US",0.158725155755992,"Thousand MT",0.486501487341194,"kg / million $","Fuels"
"Commercial RCRA Hazardous Waste","111,112","221300/US",0.599882350684748,"Thousand MT",1.83867298442922,"kg / million $","Utilities"
"Commercial RCRA Hazardous Waste","111,112","230301/US",0.152510557347918,"Thousand MT",0.467453395346225,"kg / million $","Construction"
"Commercial RCRA Hazardous Waste","111,112","230302/US",0.000588704944103592,"Thousand MT",0.00180441360758092,"kg / million $","Construction"
"Commercial RCRA Hazardous Waste","111,112","2334A0/US",0.00128542888769029,"Thousand MT",0.00393991149515098,"kg / million $","Construction"
"Commercial RCRA Hazardous Waste","111,112","311111/US",5.08682758368096e-05,"Thousand MT",0.000155914112890425,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311119/US",1.93428143946375,"Thousand MT",5.9286808871193,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311210/US",1.78854732351834,"Thousand MT",5.48199766399624,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311221/US",12.5882532671156,"Thousand MT",38.5837009156515,"kg / million $","Manufacturing"
"Commercial RCRA Hazardous Waste","111,112","311224/US",1.32636839235527,"Thousand MT",4.0653933686175,"kg / million $","Manufacturing"
