"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Criteria Air Pollutants","111,112","1111A0/US",151498.293250617,"tons",1252.77580108319,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","1111B0/US",480933.317494074,"tons",1925.88804242836,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","111200/US",5203.75606063388,"tons",54.847893415254,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","111300/US",2198.9923626233,"tons",28.5751210045972,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","111400/US",9881.68349078523,"tons",206.010647965407,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","111900/US",90097.248762224,"tons",369.141362000349,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","112120/US",73.922051122267,"tons",1.5411068027863,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","1121A0/US",176181.821168997,"tons",605.473766092107,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","112300/US",68175.5487397523,"tons",498.242425934386,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","112A00/US",13462.5696419222,"tons",46.2660261330429,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","113000/US",32.3666542927316,"tons",0.674771199617538,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","114000/US",0.0644762870557125,"tons",0.00134418408433515,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","115000/US",120289.295888625,"tons",368.693425325757,"kg / million $","Agriculture"
"Criteria Air Pollutants","111,112","212100/US",1046.39368694232,"tons",12.5702878342285,"kg / million $","Fuels"
"Criteria Air Pollutants","111,112","212310/US",2831.09129196847,"tons",8.67745328572072,"kg / million $","Minerals"
"Criteria Air Pollutants","111,112","2123A0/US",4190.61159888502,"tons",19.1606889092026,"kg / million $","Minerals"
"Criteria Air Pollutants","111,112","221100/US",16277.3515584228,"tons",49.8909936829547,"kg / million $","Purchased Electricity"
"Criteria Air Pollutants","111,112","221200/US",2231.87106653067,"tons",6.84080975223713,"kg / million $","Fuels"
"Criteria Air Pollutants","111,112","221300/US",10189.5118262772,"tons",31.2314241252677,"kg / million $","Utilities"
"Criteria Air Pollutants","111,112","230301/US",7712.03186684441,"tons",28.4317714367392,"kg / million $","Construction"
"Criteria Air Pollutants","111,112","311111/US",0.381173817197365,"tons",0.0124139577837962,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311119/US",237037.977900536,"tons",1490.06738344408,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311210/US",9123.17105466673,"tons",75.1936875127586,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311221/US",14.6689091082143,"tons",0.305813424721293,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311224/US",15130.7386572004,"tons",85.804204668806,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311225/US",0.0248199218823496,"tons",0.000517438976283921,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311230/US",0.237590623881732,"tons",0.00495322466278382,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311300/US",1321.26624395638,"tons",10.8899504869408,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311410/US",0.548278257289915,"tons",0.011430355885712,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111,112","311420/US",2.2897415127294,"tons",0.0477359078693982,"kg / million $","Manufacturing"
