"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Criteria Air Pollutants","111-112","1111A0/US",157243.555269681,"tons",1398.12729114697,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","1111B0/US",486109.847003068,"tons",1932.18808009693,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111200/US",4360.01184939366,"tons",51.5901402980527,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111300/US",1683.07857456238,"tons",24.2193799554675,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111400/US",9400.48897621932,"tons",198.714156786243,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111900/US",83782.6774102842,"tons",338.458008170432,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112120/US",74.3566140571187,"tons",1.57180247763908,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","1121A0/US",196612.813173583,"tons",690.479506968618,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112300/US",67561.5723220925,"tons",511.943980609637,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112A00/US",13664.3789025268,"tons",47.987582575909,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","113000/US",30.8096442430784,"tons",0.65127595938203,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","114000/US",0.0648457554467659,"tons",0.0013707552497927,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","115000/US",108976.810114726,"tons",340.861979422498,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","212100/US",1037.04476524007,"tons",12.6057102322606,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","212310/US",2672.91408346479,"tons",8.36044645055147,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","2123A0/US",3822.86130864468,"tons",18.5353449104863,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","221100/US",15571.6888349625,"tons",48.7057445859236,"kg / million $","Purchased Electricity"
"Criteria Air Pollutants","111-112","221200/US",2136.03035439252,"tons",6.68116027564279,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","221300/US",9118.75703777335,"tons",28.5220091365865,"kg / million $","Utilities"
"Criteria Air Pollutants","111-112","230301/US",7059.884024642,"tons",27.4032772997184,"kg / million $","Construction"
"Criteria Air Pollutants","111-112","311111/US",0.383414771828353,"tons",0.0124139577837962,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311119/US",245677.893795454,"tons",1456.86221246988,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311210/US",9538.7013043033,"tons",77.5658933662027,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311221/US",14.7546266820753,"tons",0.311893690556037,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311224/US",15571.7680285764,"tons",84.1463550669817,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311225/US",0.0249468056632875,"tons",0.000527343148258673,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311230/US",0.238967356205171,"tons",0.00505146028125509,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311300/US",1405.78955494493,"tons",11.4314642251128,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311410/US",0.551303155605385,"tons",0.0116538343884935,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311420/US",2.30141586986063,"tons",0.048648949554724,"kg / million $","Manufacturing"
