"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Criteria Air Pollutants","111-112","1111A0/US",204260.950272465,"tons",638.895483867578,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","1111B0/US",738989.293094356,"tons",2311.43995636313,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111200/US",3144.02247714728,"tons",9.83399792837607,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111300/US",861.414855263201,"tons",2.69436747469343,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111400/US",6191.18056719964,"tons",19.3650195933988,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","111900/US",108914.236869387,"tons",340.666260349396,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112120/US",394.908084316891,"tons",1.23520913457177,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","1121A0/US",48388.1083648601,"tons",151.350240297846,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112300/US",15252.9798749971,"tons",47.7088740880706,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","112A00/US",10555.2860644888,"tons",33.0152414768302,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","113000/US",1463.74896149168,"tons",4.57837192946299,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","114000/US",14.9239058564191,"tons",0.0466795833496932,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","115000/US",115538.528229366,"tons",361.385981020765,"kg / million $","Agriculture"
"Criteria Air Pollutants","111-112","211000/US",112982.96859335,"tons",353.392600455234,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","212100/US",1045.78341934775,"tons",3.27104276580336,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","212230/US",442.296406536159,"tons",1.383432204197,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","2122A0/US",2095.40307709329,"tons",6.55408466988609,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","212310/US",3589.0944229805,"tons",11.2261115742281,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","2123A0/US",9841.75921390683,"tons",30.7834439558309,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","213111/US",3.24504983566805,"tons",0.0101499952985043,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","21311A/US",789.046963629111,"tons",2.46801231928872,"kg / million $","Minerals"
"Criteria Air Pollutants","111-112","221100/US",26143.9975362904,"tons",81.7742301399282,"kg / million $","Purchased Electricity"
"Criteria Air Pollutants","111-112","221200/US",1805.84488541539,"tons",5.64839309872133,"kg / million $","Fuels"
"Criteria Air Pollutants","111-112","221300/US",2455.41769179716,"tons",7.6801526292969,"kg / million $","Utilities"
"Criteria Air Pollutants","111-112","230301/US",15970.0977874123,"tons",49.951903874388,"kg / million $","Construction"
"Criteria Air Pollutants","111-112","230302/US",75.9793728413672,"tons",0.23765128924882,"kg / million $","Construction"
"Criteria Air Pollutants","111-112","2334A0/US",30.362804073936,"tons",0.0949699801871958,"kg / million $","Construction"
"Criteria Air Pollutants","111-112","311111/US",7.05252430796363,"tons",0.0220591646333473,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311119/US",3321.67423687376,"tons",10.389664132998,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311210/US",545.273962133664,"tons",1.70552947792067,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311221/US",1105.38406324687,"tons",3.45746401848019,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311224/US",2829.92037868876,"tons",8.85153695426041,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311225/US",226.850528531615,"tons",0.7095520607267,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311230/US",0.0886619034701128,"tons",0.000277320210459209,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311300/US",1085.10297459167,"tons",3.39402802676251,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311410/US",3.74381406524832,"tons",0.0117100497943267,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311420/US",3.30980008417571,"tons",0.0103525236882707,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311513/US",3.06385845174167,"tons",0.00958325771722964,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311514/US",34.4171349866483,"tons",0.107651276865692,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","31151A/US",2.98571255241328,"tons",0.00933882988069466,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311520/US",0.794972735259312,"tons",0.00248654718230544,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311615/US",3.42434985845237,"tons",0.0107108170055484,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","31161A/US",84.0264706358632,"tons",0.262821320193483,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311700/US",73.0265974843282,"tons",0.228415481631302,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311810/US",5.0059981170358,"tons",0.0156579590223071,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","3118A0/US",0.382862199838615,"tons",0.00119753154038602,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311910/US",3.61396216155996,"tons",0.011303893871095,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311920/US",1.30334457934613,"tons",0.0040766527550018,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311930/US",2.17503331992585,"tons",0.00680315529477613,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311940/US",19.606331385237,"tons",0.0613254592252214,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","311990/US",1.77766925621607,"tons",0.0055602642506642,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","312110/US",0.478724231786322,"tons",0.00149737259764176,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","312120/US",16.1024112028844,"tons",0.0503657590115907,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","312130/US",6.12731790722811,"tons",0.0191652674381819,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","312140/US",3720.3477760491,"tons",11.6366510062935,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","312200/US",0.414846032287103,"tons",0.00129757183727516,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","313100/US",3.46779255661611,"tons",0.0108466987961051,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","313200/US",20.2405318086427,"tons",0.0633091364079642,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","313300/US",32.2261022598411,"tons",0.100798077992897,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","314110/US",0.220009098137433,"tons",0.000688153163990898,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","314120/US",0.384765398084063,"tons",0.001203484439177,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","314900/US",25.5517556801035,"tons",0.0799217926242385,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","315000/US",4.56001088418608,"tons",0.0142629825055025,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","316000/US",9.04057522125954,"tons",0.0282774689568575,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","321100/US",1058.65764778096,"tons",3.31131128699298,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","321200/US",409.059663631603,"tons",1.27947300439957,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","321910/US",108.479224399676,"tons",0.339305611131062,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","3219A0/US",523.87604899583,"tons",1.63860023838802,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322110/US",557.813853737209,"tons",1.74475224714312,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322120/US",1928.57881883648,"tons",6.03228515285818,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322130/US",4116.70461678511,"tons",12.8763916185274,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322210/US",321.293603754339,"tons",1.00495484898298,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322220/US",360.579164089435,"tons",1.12783377932097,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322230/US",10.0060783471333,"tons",0.0312974078436487,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322291/US",32.2389451560927,"tons",0.100838248512049,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","322299/US",24.3048458776474,"tons",0.0760216587977935,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","323110/US",143.075945708627,"tons",0.447518605202764,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","323120/US",3.73107659404054,"tons",0.011670209027799,"kg / million $","Manufacturing"
"Criteria Air Pollutants","111-112","324110/US",22345.9984976227,"tons",69.8946984413758,"kg / million $","Fuels"
