"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Eutrophication Potential","111,112","1111A0/US",7.16477419680625,"Thousand MT N eq",59.2472399615468,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","1111B0/US",46.8468714162099,"Thousand MT N eq",187.597378272237,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","111200/US",1.62552470798628,"Thousand MT N eq",17.1331255517449,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","111300/US",0.989245347142815,"Thousand MT N eq",12.8548902571533,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","111400/US",2.27513303674282,"Thousand MT N eq",47.4313543379488,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","111900/US",4.54937600032357,"Thousand MT N eq",18.639446554502,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","112120/US",0.0179334747500091,"Thousand MT N eq",0.373872200720231,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","1121A0/US",42.0808946263181,"Thousand MT N eq",144.616950720938,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","112300/US",15.6337699268451,"Thousand MT N eq",114.255148639668,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","112A00/US",10.5447144263189,"Thousand MT N eq",36.2384036769883,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","113000/US",0.00138039000486292,"Thousand MT N eq",0.0287779951272437,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","114000/US",5.80172331849277e-06,"Thousand MT N eq",0.00012095274871668,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","115000/US",5.50790776904635,"Thousand MT N eq",16.8820456279692,"kg N eq / million $","Agriculture"
"Eutrophication Potential","111,112","212100/US",0.0240363004715611,"Thousand MT N eq",0.288747169605371,"kg N eq / million $","Fuels"
"Eutrophication Potential","111,112","212310/US",0.0338185952485702,"Thousand MT N eq",0.103655887498464,"kg N eq / million $","Minerals"
"Eutrophication Potential","111,112","2123A0/US",0.0891451640074435,"Thousand MT N eq",0.407597486667801,"kg N eq / million $","Minerals"
"Eutrophication Potential","111,112","221100/US",1.09301274414431,"Thousand MT N eq",3.35014524431496,"kg N eq / million $","Purchased Electricity"
"Eutrophication Potential","111,112","221200/US",0.878560400787025,"Thousand MT N eq",2.69283680753817,"kg N eq / million $","Fuels"
"Eutrophication Potential","111,112","221300/US",115.132039221747,"Thousand MT N eq",352.886144954312,"kg N eq / million $","Utilities"
"Eutrophication Potential","111,112","230301/US",0.148840295631572,"Thousand MT N eq",0.548726112526439,"kg N eq / million $","Construction"
"Eutrophication Potential","111,112","311111/US",3.55931128357313e-05,"Thousand MT N eq",0.00115918612507396,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311119/US",20.3595557183966,"Thousand MT N eq",127.984174460538,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311210/US",0.824549172555718,"Thousand MT N eq",6.79598052569051,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311221/US",0.00107663934687843,"Thousand MT N eq",0.0224454840799453,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311224/US",0.785461407443466,"Thousand MT N eq",4.45423669594976,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311225/US",1.40530477169423e-06,"Thousand MT N eq",2.929741140521e-05,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311230/US",1.50833607501968e-05,"Thousand MT N eq",0.000314453799754024,"kg N eq / million $","Manufacturing"
"Eutrophication Potential","111,112","311300/US",0.0707621452314842,"Thousand MT N eq",0.583225569748242,"kg N eq / million $","Manufacturing"
