"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Freshwater withdrawals","111-112","1111A0/US",3.65427313838505,"million m3",32491.8817519674,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","1111B0/US",14.3962634941477,"million m3",57222.2284588923,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","111200/US",0.187310961880248,"million m3",2216.36984865284,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","111300/US",0.358889630017865,"million m3",5164.39603168252,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","111400/US",0.0305672871230826,"million m3",646.152843886343,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","111900/US",5.40841930798094,"million m3",21848.464180318,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","112120/US",0.00154699817515951,"million m3",32.7015369843359,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","1121A0/US",11.6732432750568,"million m3",40994.9643219334,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","112300/US",1.26299268669358,"million m3",9570.25541715137,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","112A00/US",1.60924482330498,"million m3",5651.46571198504,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","113000/US",0.00120059858105617,"million m3",25.3790983933782,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","114000/US",3.06648045944221e-07,"million m3",0.00648214236877514,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","115000/US",1.02046692964757,"million m3",3191.85684742178,"m3 / million $","Agriculture"
"Freshwater withdrawals","111-112","212100/US",0.0070451454213506,"million m3",85.6366713399541,"m3 / million $","Fuels"
"Freshwater withdrawals","111-112","212310/US",0.0125690245694706,"million m3",39.3138924661993,"m3 / million $","Minerals"
"Freshwater withdrawals","111-112","2123A0/US",0.0162025353584065,"million m3",78.5588482148958,"m3 / million $","Minerals"
"Freshwater withdrawals","111-112","221100/US",0.749572456423368,"million m3",2344.54239345117,"m3 / million $","Purchased Electricity"
"Freshwater withdrawals","111-112","221200/US",0.0390004097893931,"million m3",121.987025176329,"m3 / million $","Fuels"
"Freshwater withdrawals","111-112","221300/US",0.737446506902511,"million m3",2306.61436865667,"m3 / million $","Utilities"
"Freshwater withdrawals","111-112","230301/US",0.0195169224830353,"million m3",75.7558675146715,"m3 / million $","Construction"
"Freshwater withdrawals","111-112","311111/US",9.46448438157964e-06,"million m3",0.306435010310261,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311119/US",6.26482616959909,"million m3",37150.2228921755,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311210/US",0.255335969211352,"million m3",2076.31646369603,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311221/US",0.000312667659742692,"million m3",6.60938920488845,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311224/US",0.337187276770688,"million m3",1822.08470246579,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311225/US",5.46089645512372e-07,"million m3",0.0115436275402486,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111-112","311230/US",5.27545418512298e-06,"million m3",0.111516266091381,"m3 / million $","Manufacturing"
