"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Freshwater withdrawals","111,112","1111A0/US",4.69956062850406,"million m3",14404.4163934048,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","1111B0/US",22.5428854378572,"million m3",69095.2057488572,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","111200/US",0.207991316031008,"million m3",637.505026353189,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","111300/US",0.48446653098978,"million m3",1484.91703643932,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","111400/US",0.00348547443203107,"million m3",10.6831742403806,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","111900/US",7.81056502037698,"million m3",23939.8189990125,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","112120/US",0.00155359359665048,"million m3",4.76185133915475,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","1121A0/US",7.17697637111802,"million m3",21997.8343226777,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","112300/US",0.0561941649130006,"million m3",172.238261035943,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","112A00/US",1.8182657887822,"million m3",5573.08642357882,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","113000/US",0.0731022197804553,"million m3",224.062395665924,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","114000/US",0.00011579036786693,"million m3",0.354903959103022,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","115000/US",0.834032758944752,"million m3",2556.35709277031,"m3 / million $","Agriculture"
"Freshwater withdrawals","111,112","211000/US",6.14580305541296e-05,"million m3",0.188372303881113,"m3 / million $","Fuels"
"Freshwater withdrawals","111,112","212100/US",0.00555190303514555,"million m3",17.0168935812837,"m3 / million $","Fuels"
"Freshwater withdrawals","111,112","2122A0/US",0.00456473375550315,"million m3",13.9911644804608,"m3 / million $","Minerals"
"Freshwater withdrawals","111,112","212310/US",0.0134855573590721,"million m3",41.3339881858386,"m3 / million $","Minerals"
"Freshwater withdrawals","111,112","2123A0/US",0.0303961130807103,"million m3",93.1657880738822,"m3 / million $","Minerals"
"Freshwater withdrawals","111,112","213111/US",4.78783297912192e-06,"million m3",0.0146749760892649,"m3 / million $","Fuels"
"Freshwater withdrawals","111,112","21311A/US",0.00248129312171833,"million m3",7.60530231327162,"m3 / million $","Minerals"
"Freshwater withdrawals","111,112","221100/US",1.78096696175422,"million m3",5458.7634308637,"m3 / million $","Purchased Electricity"
"Freshwater withdrawals","111,112","221200/US",0.0774338435293065,"million m3",237.33906492721,"m3 / million $","Fuels"
"Freshwater withdrawals","111,112","221300/US",1.05587738263309,"million m3",3236.32328255903,"m3 / million $","Utilities"
"Freshwater withdrawals","111,112","230301/US",0.0196629072394079,"million m3",60.2679113582333,"m3 / million $","Construction"
"Freshwater withdrawals","111,112","230302/US",0.000798932892226615,"million m3",2.44877403649596,"m3 / million $","Construction"
"Freshwater withdrawals","111,112","2334A0/US",0.000205572245782649,"million m3",0.630090440629811,"m3 / million $","Construction"
"Freshwater withdrawals","111,112","311111/US",7.65485634137028e-05,"million m3",0.23462563181761,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311119/US",0.0229265937729675,"million m3",70.2712932747902,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311210/US",0.00149283207387059,"million m3",4.57561387059006,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311221/US",0.000415423316989963,"million m3",1.27329572070179,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311224/US",0.00127466587919764,"million m3",3.90692227164071,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311225/US",0.000213114916377364,"million m3",0.653209148218258,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311230/US",2.2427555987253e-07,"million m3",0.000687417145269654,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311300/US",0.000981454828218894,"million m3",3.0082139873324,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311410/US",3.78842024213179e-05,"million m3",0.116117201063199,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311420/US",3.93497307329837e-05,"million m3",0.12060912737425,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311513/US",3.6377688987255e-05,"million m3",0.111499653057778,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311514/US",0.000234140569502512,"million m3",0.717653951998634,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","31151A/US",4.17585172958706e-05,"million m3",0.127992193026008,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311520/US",2.01308458041208e-05,"million m3",0.0617021692528489,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311615/US",0.00019646862777771,"million m3",0.602187341851962,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","31161A/US",0.00138455687564984,"million m3",4.24374432712879,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311700/US",0.000700134061947162,"million m3",2.1459500912329,"m3 / million $","Manufacturing"
"Freshwater withdrawals","111,112","311810/US",4.9134321409255e-05,"million m3",0.150599445508501,"m3 / million $","Manufacturing"
