"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"GWP-AR6-20","111,112","1111A0/US",10.7395124343448,"MMT CO2e",88.8076096733473,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","1111B0/US",61.1043952006238,"MMT CO2e",244.691352784367,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111200/US",1.24093290053828,"MMT CO2e",13.0795053940163,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111300/US",0.710025388674639,"MMT CO2e",9.22652654123365,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111400/US",2.93235416141261,"MMT CO2e",61.1329214723377,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111900/US",4.89424071599056,"MMT CO2e",20.0524068013031,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112120/US",0.0629257111731463,"MMT CO2e",1.31185810034823,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","1121A0/US",196.934831614946,"MMT CO2e",676.794423973172,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112300/US",10.7979937975941,"MMT CO2e",78.9141961361394,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112A00/US",11.8762645292279,"MMT CO2e",40.8144640798108,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","113000/US",0.00191476232625366,"MMT CO2e",0.0399184438460417,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","114000/US",1.87892098778268e-05,"MMT CO2e",0.000391712333763642,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","115000/US",12.4029106160461,"MMT CO2e",38.0156153152085,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","212100/US",1.87297044824096,"MMT CO2e",22.4999232441762,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","212310/US",0.151586655850772,"MMT CO2e",0.464621585540289,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","2123A0/US",0.223687426182606,"MMT CO2e",1.02276364316977,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","221100/US",10.0809378667294,"MMT CO2e",30.8986388616154,"MT CO2e / million $","Purchased Electricity"
"GWP-AR6-20","111,112","221200/US",1.39143125189052,"MMT CO2e",4.26481467511304,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","221300/US",4.95446853561765,"MMT CO2e",15.1857233976735,"MT CO2e / million $","Utilities"
"GWP-AR6-20","111,112","230301/US",0.496283374015169,"MMT CO2e",1.82963656030984,"MT CO2e / million $","Construction"
"GWP-AR6-20","111,112","311111/US",7.61664092961195e-05,"MMT CO2e",0.00248056541894059,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311119/US",32.4327045657428,"MMT CO2e",203.878364379948,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311210/US",1.20160426636776,"MMT CO2e",9.90368975631964,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311221/US",0.00224401837010512,"MMT CO2e",0.0467826842362158,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311224/US",1.21086718980912,"MMT CO2e",6.86665063319173,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311225/US",2.35185190564854e-06,"MMT CO2e",4.90307684366881e-05,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311230/US",3.80719661824923e-05,"MMT CO2e",0.000793713989107849,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311300/US",0.157887913872913,"MMT CO2e",1.30132104140788,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311410/US",0.000115997584612192,"MMT CO2e",0.00241828607348777,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311420/US",0.000730179004346907,"MMT CO2e",0.0152225731533007,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311513/US",0.00117568941537216,"MMT CO2e",0.0245104529499198,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311514/US",0.121117034403929,"MMT CO2e",1.45497435915767,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","31151A/US",0.00180067980418332,"MMT CO2e",0.037540082475213,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311520/US",0.000487843553189568,"MMT CO2e",0.010170429622852,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311615/US",0.000420402454991801,"MMT CO2e",0.00876443596274573,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","31161A/US",0.144586844657987,"MMT CO2e",1.73691630317907,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311700/US",0.000171946132412472,"MMT CO2e",0.00358468617077962,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311810/US",0.000302991572395242,"MMT CO2e",0.00631668583753043,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","3118A0/US",7.39576460218722e-05,"MMT CO2e",0.00154184887556558,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311910/US",0.000115543907162917,"MMT CO2e",0.00240882792950049,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311920/US",0.000279381201857294,"MMT CO2e",0.0058244632584768,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311930/US",1.47550938484481e-05,"MMT CO2e",0.000307610180729199,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311940/US",0.000274668010825048,"MMT CO2e",0.00572620393460319,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311990/US",6.15895755224041e-05,"MMT CO2e",0.0012840027079512,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","312110/US",2.08953583146342e-05,"MMT CO2e",0.000435620743153867,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","312120/US",0.0228872660479366,"MMT CO2e",0.188638130417339,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","312130/US",2.74724218651812e-06,"MMT CO2e",5.72737574007775e-05,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","312140/US",0.280239830935726,"MMT CO2e",2.30975240404271,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","312200/US",0.000257850647355993,"MMT CO2e",0.00537560011810162,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","313100/US",0.00111968290877762,"MMT CO2e",0.0226564372036471,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","313200/US",4.72213995312286e-05,"MMT CO2e",0.000984458885404836,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","313300/US",0.000376955501312987,"MMT CO2e",0.0078586656971992,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","314120/US",4.67803579289663e-05,"MMT CO2e",0.000975264170117052,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","314900/US",0.0386102394473303,"MMT CO2e",0.182181408757531,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","315000/US",9.17952328083073e-05,"MMT CO2e",0.00191372203011859,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","316000/US",0.0286970190761307,"MMT CO2e",0.278670808304282,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","321100/US",0.00208300988204772,"MMT CO2e",0.0242062985338584,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","321200/US",6.30115756196084e-06,"MMT CO2e",0.000131364817895875,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","321910/US",0.00768313999091307,"MMT CO2e",0.0756545737383592,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","3219A0/US",0.153218550744556,"MMT CO2e",0.469623434738227,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322120/US",0.000736024045908038,"MMT CO2e",0.0153444289889502,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322130/US",3.78542902148075e-05,"MMT CO2e",0.00219297732920295,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322210/US",0.143627017643091,"MMT CO2e",0.853621316134323,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322220/US",0.201412571770647,"MMT CO2e",1.39582715778843,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322230/US",0.000809837124752211,"MMT CO2e",0.00831566483954343,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322291/US",0.0044937538705703,"MMT CO2e",0.0283775630451368,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","322299/US",0.00369210657736143,"MMT CO2e",0.044353136846323,"MT CO2e / million $","Manufacturing"
