"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"GWP-AR6-20","111,112","1111A0/US",11.9829855423298,"MMT CO2e",36.7285214581457,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","1111B0/US",83.9722004110725,"MMT CO2e",257.379494767057,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111200/US",0.883737337614534,"MMT CO2e",2.70870440870358,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111300/US",0.479383478659732,"MMT CO2e",1.46933719651399,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111400/US",2.26980218079499,"MMT CO2e",6.95707074072512,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","111900/US",4.83206701114384,"MMT CO2e",14.8105558734981,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112120/US",0.858406363918535,"MMT CO2e",2.63106355637486,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","1121A0/US",184.228889807525,"MMT CO2e",564.671859830223,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112300/US",3.19372109682893,"MMT CO2e",9.78893393652614,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","112A00/US",13.2519826339062,"MMT CO2e",40.618068578406,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","113000/US",0.0546507587497477,"MMT CO2e",0.167507634750413,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","114000/US",0.0486509578832447,"MMT CO2e",0.149117909244067,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","115000/US",5.90258569135079,"MMT CO2e",18.091755552696,"MT CO2e / million $","Agriculture"
"GWP-AR6-20","111,112","211000/US",12.2007618205725,"MMT CO2e",37.39601794141,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","212100/US",3.77511366562833,"MMT CO2e",11.5709347044753,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","212230/US",0.0119008145425415,"MMT CO2e",0.0364766627441134,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","2122A0/US",0.123408169886442,"MMT CO2e",0.378252948714101,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","212310/US",0.0724744758946458,"MMT CO2e",0.222138325516733,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","2123A0/US",0.167425167368624,"MMT CO2e",0.513167509933969,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","213111/US",0.000467332070900821,"MMT CO2e",0.00143239895713196,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","21311A/US",0.257986466506306,"MMT CO2e",0.790742961135694,"MT CO2e / million $","Minerals"
"GWP-AR6-20","111,112","221100/US",20.9657794503181,"MMT CO2e",64.2612876154773,"MT CO2e / million $","Purchased Electricity"
"GWP-AR6-20","111,112","221200/US",2.44854971158878,"MMT CO2e",7.50494192834852,"MT CO2e / million $","Fuels"
"GWP-AR6-20","111,112","221300/US",5.03980217204502,"MMT CO2e",15.4472757700395,"MT CO2e / million $","Utilities"
"GWP-AR6-20","111,112","230301/US",0.272021873158183,"MMT CO2e",0.833762268182861,"MT CO2e / million $","Construction"
"GWP-AR6-20","111,112","230302/US",0.00930337710614968,"MMT CO2e",0.0285153716049636,"MT CO2e / million $","Construction"
"GWP-AR6-20","111,112","2334A0/US",0.00452049986796652,"MMT CO2e",0.0138555851390832,"MT CO2e / million $","Construction"
"GWP-AR6-20","111,112","311111/US",0.00410673631887063,"MMT CO2e",0.0125873766998855,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311119/US",1.28545583052335,"MMT CO2e",3.93999407644249,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311210/US",0.141462989153551,"MMT CO2e",0.433591980421389,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311221/US",0.24553930830207,"MMT CO2e",0.752591724485837,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311224/US",0.351930832604076,"MMT CO2e",1.07868770194383,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311225/US",0.02905835975788,"MMT CO2e",0.0890654992560654,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311230/US",7.57313906478006e-05,"MMT CO2e",0.000232120951547286,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311300/US",0.111563086659005,"MMT CO2e",0.34194710557045,"MT CO2e / million $","Manufacturing"
"GWP-AR6-20","111,112","311410/US",0.0016950044116465,"MMT CO2e",0.00519528340286274,"MT CO2e / million $","Manufacturing"
