"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Human Health - Respiratory Effects","111,112","1111A0/US",51.272397734134,"Thousand MT PM2.5 eq",423.983780718756,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","1111B0/US",135.131653750269,"Thousand MT PM2.5 eq",541.132058529964,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","111200/US",1.33362802555813,"Thousand MT PM2.5 eq",14.0565174364645,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","111300/US",0.422709210605035,"Thousand MT PM2.5 eq",5.49295534086665,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","111400/US",1.48631526975967,"Thousand MT PM2.5 eq",30.986296220639,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","111900/US",24.8505831217875,"Thousand MT PM2.5 eq",101.816406450868,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","112120/US",0.0188493285461096,"Thousand MT PM2.5 eq",0.392965671397791,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","1121A0/US",47.9941810579932,"Thousand MT PM2.5 eq",164.938796539147,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","112300/US",18.5543531711179,"Thousand MT PM2.5 eq",135.599435670267,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","112A00/US",6.6338272575283,"Thousand MT PM2.5 eq",22.7980863551599,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","113000/US",0.00598268330361261,"Thousand MT PM2.5 eq",0.124725353235445,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","114000/US",3.84980698752204e-06,"Thousand MT PM2.5 eq",8.02597282923241e-05,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","115000/US",18.7503608135597,"Thousand MT PM2.5 eq",57.4709054814487,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111,112","212100/US",0.138406132444653,"Thousand MT PM2.5 eq",1.66266764083366,"kg PM2.5 eq/ million $","Fuels"
"Human Health - Respiratory Effects","111,112","212310/US",0.76334206894618,"Thousand MT PM2.5 eq",2.33968617087592,"kg PM2.5 eq/ million $","Minerals"
"Human Health - Respiratory Effects","111,112","2123A0/US",0.934090525632062,"Thousand MT PM2.5 eq",4.27093219028733,"kg PM2.5 eq/ million $","Minerals"
"Human Health - Respiratory Effects","111,112","221100/US",1.03330509219185,"Thousand MT PM2.5 eq",3.16713794882879,"kg PM2.5 eq/ million $","Purchased Electricity"
"Human Health - Respiratory Effects","111,112","221200/US",0.109981355842776,"Thousand MT PM2.5 eq",0.337099012078253,"kg PM2.5 eq/ million $","Fuels"
"Human Health - Respiratory Effects","111,112","221300/US",1.03123104105286,"Thousand MT PM2.5 eq",3.16078086598875,"kg PM2.5 eq/ million $","Utilities"
"Human Health - Respiratory Effects","111,112","230301/US",1.6510931626602,"Thousand MT PM2.5 eq",6.08704738673829,"kg PM2.5 eq/ million $","Construction"
"Human Health - Respiratory Effects","111,112","311111/US",8.91186346676096e-05,"Thousand MT PM2.5 eq",0.00290238971985956,"kg PM2.5 eq/ million $","Manufacturing"
"Human Health - Respiratory Effects","111,112","311119/US",60.5567482979211,"Thousand MT PM2.5 eq",380.67163871955,"kg PM2.5 eq/ million $","Manufacturing"
"Human Health - Respiratory Effects","111,112","311210/US",2.35429714709066,"Thousand MT PM2.5 eq",19.404249128921,"kg PM2.5 eq/ million $","Manufacturing"
"Human Health - Respiratory Effects","111,112","311221/US",0.00330625442312211,"Thousand MT PM2.5 eq",0.0689278923658134,"kg PM2.5 eq/ million $","Manufacturing"
