"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Human Health - Respiratory Effects","111-112","1111A0/US",53.2167982485409,"Thousand MT PM2.5 eq",473.175882160261,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","1111B0/US",136.586144357995,"Thousand MT PM2.5 eq",542.902230148098,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","111200/US",1.11739173135042,"Thousand MT PM2.5 eq",13.2216145688386,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","111300/US",0.323535828378585,"Thousand MT PM2.5 eq",4.65565736213194,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","111400/US",1.41393825471048,"Thousand MT PM2.5 eq",29.8888226711803,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","111900/US",23.1089008571718,"Thousand MT PM2.5 eq",93.3533374306594,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","112120/US",0.0189601374239562,"Thousand MT PM2.5 eq",0.40079273857816,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","1121A0/US",53.5598445467472,"Thousand MT PM2.5 eq",188.095447387265,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","112300/US",18.3872560886216,"Thousand MT PM2.5 eq",139.328389659452,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","112A00/US",6.73327096028555,"Thousand MT PM2.5 eq",23.6464019709614,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","113000/US",0.00569488407841715,"Thousand MT PM2.5 eq",0.120382470582205,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","114000/US",3.87186753192523e-06,"Thousand MT PM2.5 eq",8.18462628636567e-05,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","115000/US",16.9870020010245,"Thousand MT PM2.5 eq",53.1326171176001,"kg PM2.5 eq/ million $","Agriculture"
"Human Health - Respiratory Effects","111-112","212100/US",0.137169553792197,"Thousand MT PM2.5 eq",1.66735294921685,"kg PM2.5 eq/ million $","Fuels"
"Human Health - Respiratory Effects","111-112","212310/US",0.720693031826867,"Thousand MT PM2.5 eq",2.25421218629808,"kg PM2.5 eq/ million $","Minerals"
"Human Health - Respiratory Effects","111-112","2123A0/US",0.852118705097958,"Thousand MT PM2.5 eq",4.13154253541759,"kg PM2.5 eq/ million $","Minerals"
"Human Health - Respiratory Effects","111-112","221100/US",0.988508806819232,"Thousand MT PM2.5 eq",3.09189696609998,"kg PM2.5 eq/ million $","Purchased Electricity"
