"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Jobs Supported","111,112","1111A0/US",19279.055364831,"Jobs",0.159423142733688,"jobs / million $","Agriculture"
"Jobs Supported","111,112","1111B0/US",83617.1068713968,"Jobs",0.334843065365422,"jobs / million $","Agriculture"
"Jobs Supported","111,112","111200/US",6149.39977313891,"Jobs",0.0648150334863747,"jobs / million $","Agriculture"
"Jobs Supported","111,112","111300/US",7229.72016025079,"Jobs",0.0939476334342923,"jobs / million $","Agriculture"
"Jobs Supported","111,112","111400/US",24681.5753500802,"Jobs",0.514554765432283,"jobs / million $","Agriculture"
"Jobs Supported","111,112","111900/US",14207.9199337407,"Jobs",0.0582118875724424,"jobs / million $","Agriculture"
"Jobs Supported","111,112","112120/US",60.1368574023173,"Jobs",0.00125371683596296,"jobs / million $","Agriculture"
"Jobs Supported","111,112","1121A0/US",94532.6668396721,"Jobs",0.324874890214943,"jobs / million $","Agriculture"
"Jobs Supported","111,112","112300/US",44066.0223198374,"Jobs",0.322044519886828,"jobs / million $","Agriculture"
"Jobs Supported","111,112","112A00/US",11511.3666356981,"Jobs",0.0395604408192464,"jobs / million $","Agriculture"
"Jobs Supported","111,112","113000/US",32.5542218560891,"Jobs",0.000678681557129049,"jobs / million $","Agriculture"
"Jobs Supported","111,112","114000/US",0.181827193454235,"Jobs",3.79068384209723e-06,"jobs / million $","Agriculture"
"Jobs Supported","111,112","115000/US",293735.845061423,"Jobs",0.900316807548072,"jobs / million $","Agriculture"
"Jobs Supported","111,112","212100/US",1358.93779991704,"Jobs",0.0163248684571928,"jobs / million $","Fuels"
"Jobs Supported","111,112","212310/US",1730.43829553867,"Jobs",0.00530389024047277,"jobs / million $","Minerals"
"Jobs Supported","111,112","2123A0/US",2458.94177513879,"Jobs",0.011242993364456,"jobs / million $","Minerals"
"Jobs Supported","111,112","221100/US",8048.13909774657,"Jobs",0.024667996844821,"jobs / million $","Purchased Electricity"
"Jobs Supported","111,112","221200/US",3656.21579407863,"Jobs",0.011206506072636,"jobs / million $","Fuels"
"Jobs Supported","111,112","221300/US",26376.805486579,"Jobs",0.0808463853093158,"jobs / million $","Utilities"
"Jobs Supported","111,112","230301/US",11005.1367791267,"Jobs",0.0405723859725456,"jobs / million $","Construction"
"Jobs Supported","111,112","311111/US",0.311055504594697,"Jobs",1.01303650152251e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311119/US",110137.273853689,"Jobs",0.692344580916456,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311210/US",3286.05812909692,"Jobs",0.0270838754011612,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311221/US",4.65875117915476,"Jobs",9.71243766330158e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311224/US",4115.27590562383,"Jobs",0.0233371274248212,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311225/US",0.00956775855678364,"Jobs",1.99466026380788e-07,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311230/US",0.169394273173559,"Jobs",3.53148570389408e-06,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311300/US",1005.6088823511,"Jobs",0.0082882848086997,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311410/US",0.652761351067625,"Jobs",1.36085909881263e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311420/US",4.75686808409828,"Jobs",9.916989116327e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311513/US",2.1715091057929,"Jobs",4.52710308283341e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311514/US",266.382491170483,"Jobs",0.00320004280396272,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","31151A/US",3.55566622850091,"Jobs",7.41275618031338e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311520/US",2.20055341302436,"Jobs",4.58765386406454e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","311615/US",3.22583637921543,"Jobs",6.7251358873441e-05,"jobs / million $","Manufacturing"
"Jobs Supported","111,112","31161A/US",212.722887388934,"Jobs",0.00255543201070025,"jobs / million $","Manufacturing"
