"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Jobs Supported","111-112","1111A0/US",1620.69480937447,"Jobs",0.005069273363586,"jobs / million $","Agriculture"
"Jobs Supported","111-112","1111B0/US",22769.6262025391,"Jobs",0.0712197379418347,"jobs / million $","Agriculture"
"Jobs Supported","111-112","111200/US",3014.86347688552,"Jobs",0.00943000929590367,"jobs / million $","Agriculture"
"Jobs Supported","111-112","111300/US",4125.64645570539,"Jobs",0.0129043602561746,"jobs / million $","Agriculture"
"Jobs Supported","111-112","111400/US",19360.9676139894,"Jobs",0.060558000711268,"jobs / million $","Agriculture"
"Jobs Supported","111-112","111900/US",7249.45949734491,"Jobs",0.0226751463123832,"jobs / million $","Agriculture"
"Jobs Supported","111-112","112120/US",370.320665710001,"Jobs",0.00115830363360866,"jobs / million $","Agriculture"
"Jobs Supported","111-112","1121A0/US",24243.385042413,"Jobs",0.0758294191650413,"jobs / million $","Agriculture"
"Jobs Supported","111-112","112300/US",9042.04254414706,"Jobs",0.0282820585074542,"jobs / million $","Agriculture"
"Jobs Supported","111-112","112A00/US",7965.06042056255,"Jobs",0.0249134311998537,"jobs / million $","Agriculture"
"Jobs Supported","111-112","113000/US",980.819885378333,"Jobs",0.00306784725332889,"jobs / million $","Agriculture"
"Jobs Supported","111-112","114000/US",478.552533589832,"Jobs",0.00149683555322785,"jobs / million $","Agriculture"
"Jobs Supported","111-112","115000/US",313621.957824977,"Jobs",0.980959171240556,"jobs / million $","Agriculture"
"Jobs Supported","111-112","211000/US",74.4621449460618,"Jobs",0.000232905643793751,"jobs / million $","Fuels"
"Jobs Supported","111-112","212100/US",1108.35969323756,"Jobs",0.00346677131172529,"jobs / million $","Fuels"
"Jobs Supported","111-112","2122A0/US",427.474516649406,"Jobs",0.0013370717104345,"jobs / million $","Minerals"
"Jobs Supported","111-112","212310/US",1303.7618240753,"Jobs",0.0040779578295781,"jobs / million $","Minerals"
"Jobs Supported","111-112","2123A0/US",3789.89564829785,"Jobs",0.0118541855934628,"jobs / million $","Minerals"
"Jobs Supported","111-112","213111/US",2.43698288060846,"Jobs",7.62249149730519e-06,"jobs / million $","Fuels"
"Jobs Supported","111-112","21311A/US",1397.34093402395,"Jobs",0.00437065827305879,"jobs / million $","Minerals"
"Jobs Supported","111-112","221100/US",6495.58516559022,"Jobs",0.0203171483430245,"jobs / million $","Purchased Electricity"
"Jobs Supported","111-112","221200/US",2927.46935454288,"Jobs",0.00915665450142725,"jobs / million $","Fuels"
"Jobs Supported","111-112","221300/US",14125.7614615277,"Jobs",0.0441831157248722,"jobs / million $","Utilities"
"Jobs Supported","111-112","230301/US",19438.9053942612,"Jobs",0.0608017775847818,"jobs / million $","Construction"
"Jobs Supported","111-112","230302/US",1096.41751019574,"Jobs",0.00342941807899647,"jobs / million $","Construction"
"Jobs Supported","111-112","2334A0/US",225.927202915776,"Jobs",0.000706664046324966,"jobs / million $","Construction"
"Jobs Supported","111-112","311111/US",125.606768090313,"Jobs",0.000392877820107355,"jobs / million $","Manufacturing"
"Jobs Supported","111-112","311119/US",27658.4601355031,"Jobs",0.0865112261924419,"jobs / million $","Manufacturing"
"Jobs Supported","111-112","311210/US",1700.77931177186,"Jobs",0.00531976483952023,"jobs / million $","Manufacturing"
"Jobs Supported","111-112","311221/US",354.635864681003,"Jobs",0.00110924409222583,"jobs / million $","Manufacturing"
"Jobs Supported","111-112","311224/US",1366.15700889615,"Jobs",0.00427311995794357,"jobs / million $","Manufacturing"
"Jobs Supported","111-112","311225/US",231.378955153978,"Jobs",0.000723716252728129,"jobs / million $","Manufacturing"
