"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Lead","111-112","1111A0/US",2.19599622577816e-07,"tons",6.86872390130577e-10,"kg / million $","Agriculture"
"Lead","111-112","1111B0/US",9.73547583268589e-06,"tons",3.04510065898945e-08,"kg / million $","Agriculture"
"Lead","111-112","111200/US",3.0999548599541e-06,"tons",9.696161491348e-09,"kg / million $","Agriculture"
"Lead","111-112","111300/US",1.3807250822375e-06,"tons",4.31868655427058e-09,"kg / million $","Agriculture"
"Lead","111-112","111400/US",0.00332081286046413,"tons",1.03869698857751e-05,"kg / million $","Agriculture"
"Lead","111-112","111900/US",1.0384402351366e-05,"tons",3.24807446362202e-08,"kg / million $","Agriculture"
"Lead","111-112","112120/US",1.28776297248037e-07,"tons",4.02791598840663e-10,"kg / million $","Agriculture"
"Lead","111-112","1121A0/US",0.000197430031503417,"tons",6.17529465808867e-07,"kg / million $","Agriculture"
"Lead","111-112","112300/US",0.0035204764696227,"tons",1.10114856241674e-05,"kg / million $","Agriculture"
"Lead","111-112","112A00/US",0.000533187436752924,"tons",1.66772476551184e-06,"kg / million $","Agriculture"
"Lead","111-112","113000/US",1.04894058004744e-05,"tons",3.28091785798416e-08,"kg / million $","Agriculture"
"Lead","111-112","114000/US",5.82571996598969e-06,"tons",1.822191746187e-08,"kg / million $","Agriculture"
"Lead","111-112","115000/US",0.0106737573810793,"tons",3.33858007493518e-05,"kg / million $","Agriculture"
"Lead","111-112","211000/US",0.00249639077349593,"tons",7.80830985573965e-06,"kg / million $","Fuels"
"Lead","111-112","212100/US",0.00379769787598655,"tons",1.18785897099999e-05,"kg / million $","Fuels"
"Lead","111-112","212230/US",0.0460451860051277,"tons",0.000144021955020173,"kg / million $","Minerals"
"Lead","111-112","2122A0/US",0.0837901242139871,"tons",0.000262082066501754,"kg / million $","Minerals"
"Lead","111-112","212310/US",0.0057512840708066,"tons",1.79890939231237e-05,"kg / million $","Minerals"
"Lead","111-112","2123A0/US",0.226233177636323,"tons",0.000707621086164809,"kg / million $","Minerals"
"Lead","111-112","213111/US",4.13531232714825e-07,"tons",1.29345935513994e-09,"kg / million $","Fuels"
"Lead","111-112","21311A/US",0.00363372775218005,"tons",1.13657174676577e-05,"kg / million $","Minerals"
"Lead","111-112","221100/US",0.226903087062717,"tons",0.000709716455380281,"kg / million $","Purchased Electricity"
"Lead","111-112","221200/US",0.00875756728108556,"tons",2.73922655215722e-05,"kg / million $","Fuels"
"Lead","111-112","221300/US",0.0248504175812833,"tons",7.77281195633681e-05,"kg / million $","Utilities"
"Lead","111-112","230301/US",5.1638443197103e-05,"tons",1.61516766217791e-07,"kg / million $","Construction"
"Lead","111-112","230302/US",3.0779070452765e-06,"tons",9.62719946405946e-09,"kg / million $","Construction"
"Lead","111-112","2334A0/US",1.02530054973779e-07,"tons",3.20697563562995e-10,"kg / million $","Construction"
"Lead","111-112","311111/US",0.000431610473317254,"tons",1.35000831938024e-06,"kg / million $","Manufacturing"
"Lead","111-112","311119/US",0.0752442342016315,"tons",0.000235351893518421,"kg / million $","Manufacturing"
"Lead","111-112","311210/US",0.0111508524511325,"tons",3.4878077590451e-05,"kg / million $","Manufacturing"
"Lead","111-112","311221/US",0.00964563746487839,"tons",3.01700065877224e-05,"kg / million $","Manufacturing"
"Lead","111-112","311224/US",0.0175123959176935,"tons",5.47759650025659e-05,"kg / million $","Manufacturing"
"Lead","111-112","311225/US",0.00452536843950318,"tons",1.41546264960522e-05,"kg / million $","Manufacturing"
