"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Methane","111-112","1111A0/US",6961.33751827519,"tons",61.8965651755553,"kg / million $","Agriculture"
"Methane","111-112","1111B0/US",230249.987017303,"tons",915.197013802722,"kg / million $","Agriculture"
"Methane","111-112","111200/US",806.639283575543,"tons",9.54461484212945,"kg / million $","Agriculture"
"Methane","111-112","111300/US",680.744906009194,"tons",9.79587036551311,"kg / million $","Agriculture"
"Methane","111-112","111400/US",2728.68891331806,"tons",57.6809480776649,"kg / million $","Agriculture"
"Methane","111-112","111900/US",4145.76981559891,"tons",16.7477220529654,"kg / million $","Agriculture"
"Methane","111-112","112120/US",666.256707423396,"tons",14.0838035291293,"kg / million $","Agriculture"
"Methane","111-112","1121A0/US",2131060.86264794,"tons",7484.01810650138,"kg / million $","Agriculture"
"Methane","111-112","112300/US",52498.2558045153,"tons",397.802554438747,"kg / million $","Agriculture"
"Methane","111-112","112A00/US",117030.684499772,"tons",410.997065904652,"kg / million $","Agriculture"
"Methane","111-112","113000/US",5.04196343388002,"tons",0.106580574143015,"kg / million $","Agriculture"
"Methane","111-112","114000/US",0.0429925158385897,"tons",0.000908806079619536,"kg / million $","Agriculture"
"Methane","111-112","115000/US",56216.4379783893,"tons",175.835999468354,"kg / million $","Agriculture"
"Methane","111-112","212100/US",20916.5003647586,"tons",254.248757149923,"kg / million $","Fuels"
"Methane","111-112","212310/US",316.7469743832,"tons",0.990733721703563,"kg / million $","Minerals"
"Methane","111-112","2123A0/US",491.524350690354,"tons",2.38318176789378,"kg / million $","Minerals"
"Methane","111-112","221100/US",8309.50489128213,"tons",25.9907982467237,"kg / million $","Purchased Electricity"
"Methane","111-112","221200/US",11250.7944529628,"tons",35.1906801389697,"kg / million $","Fuels"
"Methane","111-112","221300/US",30495.5751793887,"tons",95.385266905233,"kg / million $","Utilities"
"Methane","111-112","230301/US",937.072569334176,"tons",3.63729196935726,"kg / million $","Construction"
"Methane","111-112","311111/US",0.407514923572366,"tons",0.0131942570531921,"kg / million $","Manufacturing"
