"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Methane","111-112","1111A0/US",125.835193649458,"tons",0.393592298611168,"kg / million $","Agriculture"
"Methane","111-112","1111B0/US",337596.912716936,"tons",1055.94898395791,"kg / million $","Agriculture"
"Methane","111-112","111200/US",7.2553716042892,"tons",0.0226936384344546,"kg / million $","Agriculture"
"Methane","111-112","111300/US",5.06835944060326,"tons",0.0158530152381041,"kg / million $","Agriculture"
"Methane","111-112","111400/US",41.0657025279197,"tons",0.128446929537633,"kg / million $","Agriculture"
"Methane","111-112","111900/US",74.8434863249389,"tons",0.234098418450147,"kg / million $","Agriculture"
"Methane","111-112","112120/US",10076.568743507,"tons",31.5178904950766,"kg / million $","Agriculture"
"Methane","111-112","1121A0/US",2109679.09609919,"tons",6598.73776710469,"kg / million $","Agriculture"
"Methane","111-112","112300/US",22632.8212893532,"tons",70.791834120332,"kg / million $","Agriculture"
"Methane","111-112","112A00/US",135621.615585549,"tons",424.202656439478,"kg / million $","Agriculture"
"Methane","111-112","113000/US",58.4464779720493,"tons",0.182811206814119,"kg / million $","Agriculture"
"Methane","111-112","114000/US",2.10188413007657,"tons",0.00657435636389416,"kg / million $","Agriculture"
"Methane","111-112","115000/US",37766.4305329969,"tons",118.127336023575,"kg / million $","Agriculture"
"Methane","111-112","211000/US",128404.412434613,"tons",401.628402803934,"kg / million $","Fuels"
"Methane","111-112","212100/US",43952.7061609795,"tons",137.477013753979,"kg / million $","Fuels"
"Methane","111-112","212230/US",1.48075306785925,"tons",0.00463155804629518,"kg / million $","Minerals"
"Methane","111-112","2122A0/US",15.0307309674786,"tons",0.0470137151596574,"kg / million $","Minerals"
"Methane","111-112","212310/US",19.8692502643444,"tons",0.0621478273002803,"kg / million $","Minerals"
"Methane","111-112","2123A0/US",127.623067043358,"tons",0.399184479767506,"kg / million $","Minerals"
"Methane","111-112","213111/US",3.70193127590702,"tons",0.0115790471483181,"kg / million $","Fuels"
"Methane","111-112","21311A/US",2521.02685227589,"tons",7.8853675579178,"kg / million $","Minerals"
"Methane","111-112","221100/US",1064.86685705187,"tons",3.33073269747935,"kg / million $","Purchased Electricity"
"Methane","111-112","221200/US",20849.4951853346,"tons",65.2138761572418,"kg / million $","Fuels"
"Methane","111-112","221300/US",35611.9902685053,"tons",111.388592502554,"kg / million $","Utilities"
"Methane","111-112","230301/US",6.30032794967278,"tons",0.0197064150957944,"kg / million $","Construction"
"Methane","111-112","230302/US",0.202365488329835,"tons",0.000632966782990714,"kg / million $","Construction"
"Methane","111-112","2334A0/US",0.103640469049314,"tons",0.000324170760652975,"kg / million $","Construction"
"Methane","111-112","311111/US",0.0850712123315038,"tons",0.000266089104614649,"kg / million $","Manufacturing"
"Methane","111-112","311119/US",18.6153572434955,"tons",0.0582258510869864,"kg / million $","Manufacturing"
"Methane","111-112","311210/US",3.23283909613296,"tons",0.0101118020641477,"kg / million $","Manufacturing"
"Methane","111-112","311221/US",6.5774213471754,"tons",0.0205731187904448,"kg / million $","Manufacturing"
"Methane","111-112","311224/US",10.4160930827691,"tons",0.0325798681600599,"kg / million $","Manufacturing"
"Methane","111-112","311225/US",0.89338500070009,"tons",0.00279436496080603,"kg / million $","Manufacturing"
"Methane","111-112","311230/US",0.00215082856946094,"tons",6.72744671837157e-06,"kg / million $","Manufacturing"
"Methane","111-112","311300/US",5.13545800335326,"tons",0.0160628887780921,"kg / million $","Manufacturing"
"Methane","111-112","311410/US",0.0352752150961572,"tons",0.000110335213790642,"kg / million $","Manufacturing"
"Methane","111-112","311420/US",0.0682731260668578,"tons",0.000213547385613613,"kg / million $","Manufacturing"
"Methane","111-112","311513/US",0.0423357814127905,"tons",0.000132419532536969,"kg / million $","Manufacturing"
"Methane","111-112","311514/US",0.641232480913026,"tons",0.00200567233050693,"kg / million $","Manufacturing"
"Methane","111-112","31151A/US",0.0468177550934161,"tons",0.00014643842718886,"kg / million $","Manufacturing"
"Methane","111-112","311520/US",0.00890115157577121,"tons",2.78413741608232e-05,"kg / million $","Manufacturing"
"Methane","111-112","311615/US",0.041763020991852,"tons",0.000130628029825424,"kg / million $","Manufacturing"
"Methane","111-112","31161A/US",1.12009641693523,"tons",0.00350348190058646,"kg / million $","Manufacturing"
"Methane","111-112","311700/US",0.530993768896367,"tons",0.00166086332437593,"kg / million $","Manufacturing"
"Methane","111-112","311810/US",0.0204242797163312,"tons",6.3883870385436e-05,"kg / million $","Manufacturing"
"Methane","111-112","3118A0/US",0.00302304665274431,"tons",9.45560495720309e-06,"kg / million $","Manufacturing"
"Methane","111-112","311910/US",0.0321003400427953,"tons",0.000100404713953395,"kg / million $","Manufacturing"
"Methane","111-112","311920/US",0.00511908807514192,"tons",1.60116862687945e-05,"kg / million $","Manufacturing"
"Methane","111-112","311930/US",0.0111747257344907,"tons",3.49527493909213e-05,"kg / million $","Manufacturing"
"Methane","111-112","311940/US",0.0754240161993983,"tons",0.000235914222765889,"kg / million $","Manufacturing"
"Methane","111-112","311990/US",0.00966795197583606,"tons",3.02398027981902e-05,"kg / million $","Manufacturing"
"Methane","111-112","312110/US",0.00943123634291895,"tons",2.94993942735561e-05,"kg / million $","Manufacturing"
"Methane","111-112","312120/US",0.0802403013856521,"tons",0.000250978790175427,"kg / million $","Manufacturing"
