"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Nitrogen dioxide","111/112","1111A0/US",6132.99884902565,"tons",54.5314118132829,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","1111B0/US",29697.0629213279,"tons",118.039803851404,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","111200/US",616.882185088997,"tons",7.29930091372035,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","111300/US",324.950355378624,"tons",4.67601230419406,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","111400/US",2959.53473605873,"tons",62.5607296645146,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","111900/US",3908.27167254884,"tons",15.7882976119528,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","112120/US",12.8970540603086,"tons",0.272627012180332,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","1121A0/US",28950.9333919737,"tons",101.672042081626,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","112300/US",9840.78081108033,"tons",74.5679581983915,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","112A00/US",1497.00031339397,"tons",5.2572770901333,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","113000/US",2.12777381078046,"tons",0.0449783814129996,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","114000/US",0.0131927874443998,"tons",0.000278878432739611,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","115000/US",7567.40813782139,"tons",23.6696386528492,"kg / million $","Agriculture"
"Nitrogen dioxide","111/112","212100/US",199.242049896922,"tons",2.42186994358031,"kg / million $","Fuels"
"Nitrogen dioxide","111/112","212310/US",198.125844154457,"tons",0.619705856155501,"kg / million $","Minerals"
"Nitrogen dioxide","111/112","2123A0/US",425.239391007718,"tons",2.06179564088021,"kg / million $","Minerals"
"Nitrogen dioxide","111/112","221100/US",5128.32990809955,"tons",16.0405932396639,"kg / million $","Purchased Electricity"
"Nitrogen dioxide","111/112","221200/US",613.335889254097,"tons",1.91841626711148,"kg / million $","Fuels"
"Nitrogen dioxide","111/112","221300/US",1705.96660483034,"tons",5.33598986003509,"kg / million $","Utilities"
"Nitrogen dioxide","111/112","230301/US",665.429868695928,"tons",2.58289784247757,"kg / million $","Construction"
"Nitrogen dioxide","111/112","311111/US",0.0457803933456913,"tons",0.00148224823892132,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311119/US",24066.2592735527,"tons",142.712163432714,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311210/US",929.827847372511,"tons",7.56108461281667,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311221/US",1.7350171795536,"tons",0.0366760151218538,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311224/US",1121.95686302175,"tons",6.0628041974689,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311225/US",0.00227597364096156,"tons",4.81111338011785e-05,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311230/US",0.0296732193132017,"tons",0.000627253408825077,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311300/US",205.524516296642,"tons",1.67126448419281,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311410/US",0.0719951093058221,"tons",0.0015218833269877,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311420/US",0.416429747543382,"tons",0.00880278529692734,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311513/US",0.338542151062526,"tons",0.00715634242592842,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311514/US",39.8629388768052,"tons",0.484550593504032,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","31151A/US",0.546097953036298,"tons",0.0115438031505404,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311520/US",0.237005043887267,"tons",0.0050099795414138,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311615/US",0.379695002596028,"tons",0.0080262603857831,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","31161A/US",30.2210660085591,"tons",0.367349620559271,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311700/US",0.19387804221211,"tons",0.00409833060546191,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311810/US",0.259732975723824,"tons",0.00549041857196017,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","3118A0/US",0.0619347624298497,"tons",0.00130922062917557,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311910/US",0.101831456954674,"tons",0.00215258505746377,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311920/US",0.258970718693056,"tons",0.00547430544598272,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311930/US",0.012590547252708,"tons",0.000266147855407139,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311940/US",0.242925838609777,"tons",0.00513513747030072,"kg / million $","Manufacturing"
"Nitrogen dioxide","111/112","311990/US",0.0429813706711471,"tons",0.000908570485220541,"kg / million $","Manufacturing"
