"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Nitrogen dioxide","111-112","1111A0/US",4908.49719678271,"tons",15.352991785351,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","1111B0/US",34946.6642057214,"tons",109.307559313171,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","111200/US",412.026811991589,"tons",1.28875376846451,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","111300/US",209.226656980622,"tons",0.654427417826663,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","111400/US",2473.00499042599,"tons",7.73516287796363,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","111900/US",4165.1297418848,"tons",13.0278576412334,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","112120/US",112.790399237214,"tons",0.352790274402201,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","1121A0/US",11606.6455735046,"tons",36.3037253565707,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","112300/US",3576.94629149149,"tons",11.1881141677958,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","112A00/US",963.59167093377,"tons",3.01396016238444,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","113000/US",71.0093384913867,"tons",0.22210581912037,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","114000/US",1.76298109029286,"tons",0.00551432202400697,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","115000/US",5242.46232623825,"tons",16.3975811338964,"kg / million $","Agriculture"
"Nitrogen dioxide","111-112","211000/US",19211.3691947182,"tons",60.0900808551303,"kg / million $","Fuels"
"Nitrogen dioxide","111-112","212100/US",120.393462077747,"tons",0.376571435245221,"kg / million $","Fuels"
"Nitrogen dioxide","111-112","212230/US",10.8415047799354,"tons",0.0339104877020793,"kg / million $","Minerals"
"Nitrogen dioxide","111-112","2122A0/US",440.934471736619,"tons",1.37917229063257,"kg / million $","Minerals"
"Nitrogen dioxide","111-112","212310/US",153.329104450299,"tons",0.479588840882631,"kg / million $","Minerals"
"Nitrogen dioxide","111-112","2123A0/US",870.330822192221,"tons",2.72225518890246,"kg / million $","Minerals"
"Nitrogen dioxide","111-112","213111/US",0.559450228926796,"tons",0.00174987056622048,"kg / million $","Fuels"
"Nitrogen dioxide","111-112","21311A/US",141.22050781936,"tons",0.441715093143957,"kg / million $","Minerals"
"Nitrogen dioxide","111-112","221100/US",9755.25831223359,"tons",30.5128830123133,"kg / million $","Purchased Electricity"
"Nitrogen dioxide","111-112","221200/US",756.424142350795,"tons",2.36597336784972,"kg / million $","Fuels"
"Nitrogen dioxide","111-112","221300/US",680.617251957297,"tons",2.12886157602732,"kg / million $","Utilities"
"Nitrogen dioxide","111-112","230301/US",579.651072083201,"tons",1.8130555628913,"kg / million $","Construction"
"Nitrogen dioxide","111-112","230302/US",15.1806901703916,"tons",0.0474827634891482,"kg / million $","Construction"
"Nitrogen dioxide","111-112","2334A0/US",8.79279111677507,"tons",0.0275024400288214,"kg / million $","Construction"
"Nitrogen dioxide","111-112","311111/US",2.02018985604808,"tons",0.00631882978054565,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311119/US",772.519372332332,"tons",2.41631666515298,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311210/US",129.670470485124,"tons",0.405588429278434,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311221/US",227.833076718526,"tons",0.712625313829962,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311224/US",444.274194921582,"tons",1.38961840897969,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311225/US",46.5913143605534,"tons",0.145730156903244,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311230/US",0.0218392058437486,"tons",6.8309532322323e-05,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311300/US",231.812058618237,"tons",0.725070930883663,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311410/US",0.839338433795819,"tons",0.00262531596995572,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311420/US",1.07287240684978,"tons",0.00335577277295603,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311513/US",0.989482736190037,"tons",0.00309494326092914,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311514/US",10.1144931057792,"tons",0.0316365118162441,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","31151A/US",1.00435750012597,"tons",0.00314146913623515,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311520/US",0.31307439294907,"tons",0.00097924647615187,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311615/US",1.24716513425226,"tons",0.00390093246334164,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","31161A/US",28.0162699390615,"tons",0.0876303978562966,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311700/US",43.6221954403482,"tons",0.136443229242062,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311810/US",0.902090947566473,"tons",0.00282159576595163,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","3118A0/US",0.0918442582856072,"tons",0.000287274105792466,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311910/US",0.852324657029952,"tons",0.00266593479291584,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311920/US",0.371293474344031,"tons",0.00116134642295298,"kg / million $","Manufacturing"
"Nitrogen dioxide","111-112","311930/US",0.272801491146216,"tons",0.000853279300097105,"kg / million $","Manufacturing"
