"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Nitrous oxide","111-112","1111A0/US",28102.8951625133,"tons",249.876216672696,"kg / million $","Agriculture"
"Nitrous oxide","111-112","1111B0/US",119738.381044786,"tons",475.935786964999,"kg / million $","Agriculture"
"Nitrous oxide","111-112","111200/US",2507.27496207197,"tons",29.6675035589815,"kg / million $","Agriculture"
"Nitrous oxide","111-112","111300/US",1203.75798434242,"tons",17.321991045366,"kg / million $","Agriculture"
"Nitrous oxide","111-112","111400/US",5733.06071503203,"tons",121.189475214948,"kg / million $","Agriculture"
"Nitrous oxide","111-112","111900/US",11139.5561228503,"tons",45.0006146112948,"kg / million $","Agriculture"
"Nitrous oxide","111-112","112120/US",18.0187121868237,"tons",0.380892228865598,"kg / million $","Agriculture"
"Nitrous oxide","111-112","1121A0/US",142735.934800402,"tons",501.270676599669,"kg / million $","Agriculture"
"Nitrous oxide","111-112","112300/US",12432.2072693931,"tons",94.2043451403803,"kg / million $","Agriculture"
"Nitrous oxide","111-112","112A00/US",7754.13863060443,"tons",27.2315610168251,"kg / million $","Agriculture"
"Nitrous oxide","111-112","113000/US",2.74100213436414,"tons",0.0579412336163941,"kg / million $","Agriculture"
"Nitrous oxide","111-112","114000/US",0.00125430547714276,"tons",2.65143925888663e-05,"kg / million $","Agriculture"
"Nitrous oxide","111-112","115000/US",8590.16614067304,"tons",26.8686616097076,"kg / million $","Agriculture"
"Nitrous oxide","111-112","212100/US",24.609836618236,"tons",0.299142794670918,"kg / million $","Fuels"
"Nitrous oxide","111-112","212310/US",17.0384315409708,"tons",0.0532934804679626,"kg / million $","Minerals"
"Nitrous oxide","111-112","2123A0/US",28.757193261407,"tons",0.139430769971267,"kg / million $","Minerals"
"Nitrous oxide","111-112","221100/US",502.326827714166,"tons",1.5711977312551,"kg / million $","Purchased Electricity"
"Nitrous oxide","111-112","221200/US",45.7717668344298,"tons",0.143166743717529,"kg / million $","Fuels"
"Nitrous oxide","111-112","221300/US",2969.90835790594,"tons",9.28939689566528,"kg / million $","Utilities"
"Nitrous oxide","111-112","230301/US",33.8553542264583,"tons",0.131411175694897,"kg / million $","Construction"
"Nitrous oxide","111-112","311111/US",0.0754576385433837,"tons",0.00244311906626767,"kg / million $","Manufacturing"
"Nitrous oxide","111-112","311119/US",49966.4333012394,"tons",296.29938389605,"kg / million $","Manufacturing"
"Nitrous oxide","111-112","311210/US",2071.99127345024,"tons",16.8488192516982,"kg / million $","Manufacturing"
"Nitrous oxide","111-112","311221/US",2.38205018426209,"tons",0.0503534544836544,"kg / million $","Manufacturing"
