"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Nitrous oxide","111/112","1111A0/US",38312.5444975947,"tons",119.835492894446,"kg / million $","Agriculture"
"Nitrous oxide","111/112","1111B0/US",194443.122193233,"tons",608.186892661853,"kg / million $","Agriculture"
"Nitrous oxide","111/112","111200/US",2419.04778286235,"tons",7.56639338879532,"kg / million $","Agriculture"
"Nitrous oxide","111/112","111300/US",1216.86506092303,"tons",3.80615869486028,"kg / million $","Agriculture"
"Nitrous oxide","111/112","111400/US",6022.85278113922,"tons",18.8385172826048,"kg / million $","Agriculture"
"Nitrous oxide","111/112","111900/US",14652.782617169,"tons",45.8315533522934,"kg / million $","Agriculture"
"Nitrous oxide","111/112","112120/US",119.526178258671,"tons",0.37385871059325,"kg / million $","Agriculture"
"Nitrous oxide","111/112","1121A0/US",118023.751349736,"tons",369.159360249098,"kg / million $","Agriculture"
"Nitrous oxide","111/112","112300/US",2951.710880383,"tons",9.2324781053058,"kg / million $","Agriculture"
"Nitrous oxide","111/112","112A00/US",8363.11770918258,"tons",26.1584905402742,"kg / million $","Agriculture"
"Nitrous oxide","111/112","113000/US",137.067666975142,"tons",0.428725673203176,"kg / million $","Agriculture"
"Nitrous oxide","111/112","114000/US",1.28956526850682,"tons",0.00403355328124385,"kg / million $","Agriculture"
"Nitrous oxide","111/112","115000/US",5416.87959276994,"tons",16.943130362699,"kg / million $","Agriculture"
"Nitrous oxide","111/112","211000/US",35.8038630120925,"tons",0.11198873966329,"kg / million $","Fuels"
"Nitrous oxide","111/112","212100/US",23.0949183493799,"tons",0.0722371995921254,"kg / million $","Fuels"
"Nitrous oxide","111/112","212230/US",1.08697471774969,"tons",0.0033998825390862,"kg / million $","Minerals"
"Nitrous oxide","111/112","2122A0/US",12.540539399762,"tons",0.0392247954250872,"kg / million $","Minerals"
"Nitrous oxide","111/112","212310/US",16.4825634238544,"tons",0.0515548141728245,"kg / million $","Minerals"
"Nitrous oxide","111/112","2123A0/US",49.8924644904758,"tons",0.156055624922281,"kg / million $","Minerals"
"Nitrous oxide","111/112","213111/US",0.0756999065676974,"tons",0.000236777163578187,"kg / million $","Fuels"
"Nitrous oxide","111/112","21311A/US",11.7824784317869,"tons",0.0368537023292726,"kg / million $","Minerals"
"Nitrous oxide","111/112","221100/US",1088.94498822315,"tons",3.40604522904636,"kg / million $","Purchased Electricity"
"Nitrous oxide","111/112","221200/US",78.8611288216818,"tons",0.246664959649234,"kg / million $","Fuels"
"Nitrous oxide","111/112","221300/US",3983.29480326013,"tons",12.4591071241048,"kg / million $","Utilities"
"Nitrous oxide","111/112","230301/US",0.99420515425705,"tons",0.00310971422704834,"kg / million $","Construction"
"Nitrous oxide","111/112","230302/US",0.0316113089707153,"tons",9.88751032127905e-05,"kg / million $","Construction"
"Nitrous oxide","111/112","2334A0/US",0.0162510183781991,"tons",5.08305784156534e-05,"kg / million $","Construction"
"Nitrous oxide","111/112","311111/US",0.0066199143177813,"tons",2.07060299855607e-05,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311119/US",3.74635225268428,"tons",0.0117179888374374,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311210/US",2.32600783136587,"tons",0.00727537934645846,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311221/US",14.4029281031062,"tons",0.045050048515242,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311224/US",2.64247222515274,"tons",0.00826522920138973,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311225/US",0.111720003274606,"tons",0.000349442247549547,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311230/US",0.000258475105117698,"tons",8.08468662911901e-07,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311300/US",0.815917551263355,"tons",0.00255205920669175,"kg / million $","Manufacturing"
"Nitrous oxide","111/112","311410/US",0.00263782568285182,"tons",8.25069556249448e-06,"kg / million $","Manufacturing"
