"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Ozone Depletion","111,112","1111A0/US",0.784297401931256,"MT CFC eq",6.48554373062476,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","1111B0/US",4.10579012717843,"MT CFC eq",16.4415560806947,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","111200/US",0.156673749289568,"MT CFC eq",1.65135048643223,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","111300/US",0.142945750881962,"MT CFC eq",1.85752902009729,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","111400/US",0.304021361710045,"MT CFC eq",6.33815460489263,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","111900/US",0.594456171068543,"MT CFC eq",2.43557226943605,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","112120/US",0.00150070613402657,"MT CFC eq",0.0312863130421826,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","1121A0/US",2.48795395341827,"MT CFC eq",8.55020591820845,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","112300/US",1.2907322718756,"MT CFC eq",9.43296519439848,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","112A00/US",0.183215362485039,"MT CFC eq",0.62964552638685,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","113000/US",0.000937833101321636,"MT CFC eq",0.0195516892508085,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","114000/US",1.80574919945052e-06,"MT CFC eq",3.76457678480306e-05,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","115000/US",21.0261321587752,"MT CFC eq",64.4462720452584,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111,112","212100/US",0.0190482944700657,"MT CFC eq",0.228826441928893,"g CFC eq / million $","Fuels"
"Ozone Depletion","111,112","212310/US",0.0180707121536193,"MT CFC eq",0.0553877442940768,"g CFC eq / million $","Minerals"
"Ozone Depletion","111,112","2123A0/US",0.0292024873903443,"MT CFC eq",0.133522222963868,"g CFC eq / million $","Minerals"
"Ozone Depletion","111,112","221100/US",0.11278959588741,"MT CFC eq",0.34570642501175,"g CFC eq / million $","Purchased Electricity"
"Ozone Depletion","111,112","221200/US",0.0265982195605996,"MT CFC eq",0.081525031840272,"g CFC eq / million $","Fuels"
"Ozone Depletion","111,112","221300/US",0.40196465770629,"MT CFC eq",1.23204417662272,"g CFC eq / million $","Utilities"
"Ozone Depletion","111,112","230301/US",0.0832904427986605,"MT CFC eq",0.307064969829448,"g CFC eq / million $","Construction"
"Ozone Depletion","111,112","311111/US",7.95760088926996e-06,"MT CFC eq",0.000259160826486009,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311119/US",6.5945056880926,"MT CFC eq",41.4543607011637,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311210/US",0.103239589562672,"MT CFC eq",0.8509064874488,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311221/US",0.00087312074904877,"MT CFC eq",0.0182025837430749,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311224/US",0.114549178611728,"MT CFC eq",0.649591628599509,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311225/US",2.18341658288737e-07,"MT CFC eq",4.55192746699985e-06,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311230/US",4.08296663833227e-06,"MT CFC eq",8.512057723447e-05,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311300/US",0.0270035302343655,"MT CFC eq",0.222564610705787,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311410/US",9.69992602389781e-06,"MT CFC eq",0.000202221417763798,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311420/US",0.000119405763987691,"MT CFC eq",0.0024893388695203,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311513/US",3.63638496687862e-05,"MT CFC eq",0.000758103640919997,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311514/US",0.00566536270197234,"MT CFC eq",0.0680577881324889,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","31151A/US",7.12063816450679e-05,"MT CFC eq",0.00148449126463641,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311520/US",3.71779599526732e-05,"MT CFC eq",0.000775075990545975,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311615/US",3.97572746721341e-05,"MT CFC eq",0.000828848841817559,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","31161A/US",0.00263601377101796,"MT CFC eq",0.031666333857108,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311700/US",1.0157996411685e-05,"MT CFC eq",0.00021177114453756,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311810/US",4.09960022164645e-05,"MT CFC eq",0.000854673496523213,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","3118A0/US",8.98905575732167e-06,"MT CFC eq",0.000187401387920376,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311910/US",1.81640976791569e-05,"MT CFC eq",0.000378680164779566,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311920/US",7.16185591066403e-05,"MT CFC eq",0.00149308422817491,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311930/US",3.50784035417996e-06,"MT CFC eq",7.31305009918299e-05,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311940/US",6.52165611536505e-05,"MT CFC eq",0.00135961711725211,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","311990/US",7.27324266751637e-06,"MT CFC eq",0.000151630583608748,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","312110/US",4.85295742111169e-06,"MT CFC eq",0.000101173135509151,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","312120/US",0.00268373445302676,"MT CFC eq",0.0221194898811958,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","312130/US",4.4597320799516e-07,"MT CFC eq",9.29752806189035e-06,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","312140/US",0.220500076963292,"MT CFC eq",1.81737400125101,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","312200/US",0.000175997972793941,"MT CFC eq",0.00366915783628248,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","313100/US",0.00332548239926446,"MT CFC eq",0.0672901073689007,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","313200/US",0.000139201878800232,"MT CFC eq",0.00290204288331836,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","313300/US",0.00070451908350528,"MT CFC eq",0.0146876221073323,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","314120/US",0.000139007738130823,"MT CFC eq",0.00289799549148087,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","314900/US",0.10290853822949,"MT CFC eq",0.485571256127576,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","315000/US",0.000143900024692789,"MT CFC eq",0.00299998855021452,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","316000/US",0.00356476230951768,"MT CFC eq",0.0346166684271471,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","321100/US",0.000959658413826989,"MT CFC eq",0.0111520248923586,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","321200/US",2.48307601181216e-06,"MT CFC eq",5.17664928873504e-05,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111,112","321910/US",0.00425168625008231,"MT CFC eq",0.0418656319290876,"g CFC eq / million $","Manufacturing"
