"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Ozone Depletion","111/112","111200/US",2.29982662150974e-05,"MT CFC eq",7.19348872215186e-05,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","111300/US",0.00101413453029077,"MT CFC eq",0.00317205011810955,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","111400/US",0.00246067001534851,"MT CFC eq",0.00769658105476095,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","111900/US",3.14909683092925e-06,"MT CFC eq",9.84986969295233e-06,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","112120/US",1.12666154408683e-08,"MT CFC eq",3.52401656510545e-08,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","112A00/US",1.80493925093099e-06,"MT CFC eq",5.64556041934065e-06,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","113000/US",6.57714314358414e-07,"MT CFC eq",2.05722486142422e-06,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","114000/US",3.5131013346351e-07,"MT CFC eq",1.0988417385083e-06,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","115000/US",23.5849621157218,"MT CFC eq",73.7699778779195,"g CFC eq / million $","Agriculture"
"Ozone Depletion","111/112","211000/US",0.0761802023709271,"MT CFC eq",0.238279451799184,"g CFC eq / million $","Fuels"
"Ozone Depletion","111/112","212100/US",9.65029341794029e-06,"MT CFC eq",3.01845696619683e-05,"g CFC eq / million $","Fuels"
"Ozone Depletion","111/112","212230/US",1.17374492513097e-08,"MT CFC eq",3.67128582765509e-08,"g CFC eq / million $","Minerals"
"Ozone Depletion","111/112","2122A0/US",0.000338089611748229,"MT CFC eq",0.0010574900674865,"g CFC eq / million $","Minerals"
"Ozone Depletion","111/112","212310/US",0.000592575781396098,"MT CFC eq",0.00185348198017418,"g CFC eq / million $","Minerals"
"Ozone Depletion","111/112","2123A0/US",0.000601197825034164,"MT CFC eq",0.00188045034948178,"g CFC eq / million $","Minerals"
"Ozone Depletion","111/112","213111/US",2.36511632425512e-06,"MT CFC eq",7.39770443823191e-06,"g CFC eq / million $","Fuels"
"Ozone Depletion","111/112","21311A/US",0.00221748562071579,"MT CFC eq",0.00693593928123219,"g CFC eq / million $","Minerals"
"Ozone Depletion","111/112","221100/US",0.0853470966839766,"MT CFC eq",0.266952026610407,"g CFC eq / million $","Purchased Electricity"
"Ozone Depletion","111/112","221200/US",0.00797098113362935,"MT CFC eq",0.0249319502404956,"g CFC eq / million $","Fuels"
"Ozone Depletion","111/112","221300/US",0.266120656579638,"MT CFC eq",0.832382721346444,"g CFC eq / million $","Utilities"
"Ozone Depletion","111/112","230301/US",0.000362086449598785,"MT CFC eq",0.00113254832658777,"g CFC eq / million $","Construction"
"Ozone Depletion","111/112","230302/US",1.68171234505692e-08,"MT CFC eq",5.26012642645604e-08,"g CFC eq / million $","Construction"
"Ozone Depletion","111/112","2334A0/US",5.90681937607529e-09,"MT CFC eq",1.84755834062362e-08,"g CFC eq / million $","Construction"
"Ozone Depletion","111/112","311111/US",7.47462649853544e-05,"MT CFC eq",0.000233794325696671,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311119/US",4.11814259732924,"MT CFC eq",12.8808893909813,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311210/US",0.0376934862987843,"MT CFC eq",0.117899178161045,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311221/US",0.24685634247905,"MT CFC eq",0.772127037319446,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311224/US",0.0345829689373659,"MT CFC eq",0.108169978859607,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311225/US",0.000546610848985597,"MT CFC eq",0.00170971104552331,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311230/US",6.06448760964957e-06,"MT CFC eq",1.89687443469134e-05,"g CFC eq / million $","Manufacturing"
"Ozone Depletion","111/112","311300/US",0.000422457435921164,"MT CFC eq",0.00132137908678227,"g CFC eq / million $","Manufacturing"
