"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Particulate matter 2.5","111/112","1111A0/US",27305.0741106282,"tons",242.782409971499,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","1111B0/US",66157.3995573828,"tons",262.962249423798,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","111200/US",384.359386264096,"tons",4.54795889258782,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","111300/US",85.652445429106,"tons",1.23253254560729,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","111400/US",374.292376451507,"tons",7.91205586924619,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","111900/US",11925.3197319086,"tons",48.1748744253178,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","112120/US",5.94144262995551,"tons",0.125594398896926,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","1121A0/US",17618.7690297836,"tons",61.87490406507,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","112300/US",6280.88943497954,"tons",47.5930832956797,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","112A00/US",556.875370736823,"tons",1.95567636321777,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","113000/US",3.09635491445827,"tons",0.0654529309585947,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","114000/US",0.00253138511313329,"tons",5.35102013873999e-05,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","115000/US",12210.1668106774,"tons",38.1914429664884,"kg / million $","Agriculture"
"Particulate matter 2.5","111/112","212100/US",66.5879355528525,"tons",0.809404037972646,"kg / million $","Fuels"
"Particulate matter 2.5","111/112","212310/US",317.592627150691,"tons",0.993378787896341,"kg / million $","Minerals"
"Particulate matter 2.5","111/112","2123A0/US",413.138925793126,"tons",2.00312589635597,"kg / million $","Minerals"
"Particulate matter 2.5","111/112","221100/US",576.031788552103,"tons",1.80173502462997,"kg / million $","Purchased Electricity"
"Particulate matter 2.5","111/112","221200/US",57.7347106049935,"tons",0.180584912675324,"kg / million $","Fuels"
"Particulate matter 2.5","111/112","221300/US",427.884982766635,"tons",1.33835558260012,"kg / million $","Utilities"
"Particulate matter 2.5","111/112","230301/US",560.527256074295,"tons",2.17571333730699,"kg / million $","Construction"
"Particulate matter 2.5","111/112","311111/US",0.04394515771351,"tons",0.00142282815567159,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311119/US",31038.0573872438,"tons",184.054707802057,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311210/US",1211.35784452935,"tons",9.85040315233349,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311221/US",1.71434971751569,"tons",0.0362391317531094,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311224/US",2451.34821943562,"tons",13.2465380480178,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311225/US",0.0036234194706427,"tons",7.65943927611727e-05,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311230/US",0.0320133132857392,"tons",0.000676719963355348,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311300/US",143.246405671622,"tons",1.16483733717547,"kg / million $","Manufacturing"
"Particulate matter 2.5","111/112","311410/US",0.0602098958505544,"tons",0.00127275918459109,"kg / million $","Manufacturing"
