"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Particulate matter 2.5","111-112","1111A0/US",37424.66736222,"tons",117.058355652778,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","1111B0/US",105836.760072521,"tons",331.040406633344,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","111200/US",296.094459953915,"tons",0.926135969750586,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","111300/US",15.2781987028847,"tons",0.04778775453597,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","111400/US",180.493368209228,"tons",0.564554300090655,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","111900/US",16036.6731008845,"tons",50.1601407745773,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","112120/US",8.12171019683587,"tons",0.0254034065694796,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","1121A0/US",825.873283226737,"tons",2.58319913912385,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","112300/US",264.583845001467,"tons",0.827575821273086,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","112A00/US",69.5278653502722,"tons",0.21747200880045,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","113000/US",151.88766401844,"tons",0.47508024645501,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","114000/US",1.41443278281018,"tons",0.00442411883410047,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","115000/US",13900.2977060438,"tons",43.4779012677657,"kg / million $","Agriculture"
"Particulate matter 2.5","111-112","211000/US",427.804819845293,"tons",1.33810484584231,"kg / million $","Fuels"
"Particulate matter 2.5","111-112","212100/US",92.7968791541598,"tons",0.290253751044994,"kg / million $","Fuels"
"Particulate matter 2.5","111-112","212230/US",53.5314973816714,"tons",0.167437936013701,"kg / million $","Minerals"
"Particulate matter 2.5","111-112","2122A0/US",245.47305512725,"tons",0.767800336397035,"kg / million $","Minerals"
"Particulate matter 2.5","111-112","212310/US",489.751254799031,"tons",1.53186335661418,"kg / million $","Minerals"
"Particulate matter 2.5","111-112","2123A0/US",1198.64994722056,"tons",3.74918474136051,"kg / million $","Minerals"
"Particulate matter 2.5","111-112","213111/US",0.0125033522015618,"tons",3.91084798348771e-05,"kg / million $","Fuels"
"Particulate matter 2.5","111-112","21311A/US",10.3752555922317,"tons",0.0324521350410177,"kg / million $","Minerals"
"Particulate matter 2.5","111-112","221100/US",1115.38138390333,"tons",3.48873403367235,"kg / million $","Purchased Electricity"
"Particulate matter 2.5","111-112","221200/US",64.5856925304559,"tons",0.202013685068666,"kg / million $","Fuels"
"Particulate matter 2.5","111-112","221300/US",69.2746692205122,"tons",0.216680051925577,"kg / million $","Utilities"
"Particulate matter 2.5","111-112","230301/US",1458.61103611174,"tons",4.56230132312678,"kg / million $","Construction"
