"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111,112","111900/US",10.5973143631663,"tons",0.0324813617283723,"kg / million $","Agriculture"
"Releases to Ground","111,112","112A00/US",0.00277577765627193,"tons",8.50791389602256e-06,"kg / million $","Agriculture"
"Releases to Ground","111,112","113000/US",0.0973323758613778,"tons",0.00029832918038403,"kg / million $","Agriculture"
"Releases to Ground","111,112","114000/US",0.000687023065109363,"tons",2.10576415201151e-06,"kg / million $","Agriculture"
"Releases to Ground","111,112","115000/US",0.396246253578469,"tons",0.00121451694787217,"kg / million $","Agriculture"
"Releases to Ground","111,112","211000/US",0.236508855839315,"tons",0.000724912882190365,"kg / million $","Fuels"
"Releases to Ground","111,112","212100/US",15.5842005523929,"tons",0.0477664470489984,"kg / million $","Fuels"
"Releases to Ground","111,112","2122A0/US",4336.30467677325,"tons",13.291016567392,"kg / million $","Minerals"
"Releases to Ground","111,112","212310/US",0.0683187001566286,"tons",0.000209400640252087,"kg / million $","Minerals"
"Releases to Ground","111,112","2123A0/US",0.588574528673051,"tons",0.00180401387698605,"kg / million $","Minerals"
"Releases to Ground","111,112","213111/US",5.62021809386952e-05,"tons",1.72262830603409e-07,"kg / million $","Fuels"
"Releases to Ground","111,112","21311A/US",36.8442934309422,"tons",0.112929821796771,"kg / million $","Minerals"
"Releases to Ground","111,112","221100/US",58.6540764679979,"tons",0.17977802765034,"kg / million $","Purchased Electricity"
"Releases to Ground","111,112","221200/US",2.23896531858483,"tons",0.0068625540318977,"kg / million $","Fuels"
"Releases to Ground","111,112","221300/US",4.85704903493814,"tons",0.0148871271748449,"kg / million $","Utilities"
"Releases to Ground","111,112","230301/US",4.61149116108648e-05,"tons",1.41344785459103e-07,"kg / million $","Construction"
"Releases to Ground","111,112","230302/US",1.3334375768931e-06,"tons",4.08706081493728e-09,"kg / million $","Construction"
"Releases to Ground","111,112","2334A0/US",1.23658609343383e-06,"tons",3.79020559668459e-09,"kg / million $","Construction"
"Releases to Ground","111,112","311111/US",0.00758541814108355,"tons",2.3249731210944e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311119/US",3.1112038617561,"tons",0.00953601399196529,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311210/US",0.20467950026074,"tons",0.000627354125631996,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311221/US",22.9642737338906,"tons",0.0703867844642287,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311224/US",0.394515261859615,"tons",0.00120921136135825,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311225/US",2.62429639247593,"tons",0.00804361534302967,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311230/US",5.81397183701022e-05,"tons",1.78201491288095e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311300/US",1.95276151004431,"tons",0.00598532333790657,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311410/US",0.391526803615954,"tons",0.00120005156955667,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311420/US",0.256244260307497,"tons",0.000785403001612965,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311513/US",2.15479897017076,"tons",0.00660457946263363,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311514/US",18.8998884965382,"tons",0.0579292161998804,"kg / million $","Manufacturing"
"Releases to Ground","111,112","31151A/US",0.249653205291601,"tons",0.000765201049042131,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311520/US",0.0450172547149381,"tons",0.00013798040562961,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311615/US",0.512871283952945,"tons",0.00157197919428267,"kg / million $","Manufacturing"
"Releases to Ground","111,112","31161A/US",16.0825017771589,"tons",0.0492937681962858,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311700/US",2.20051852506167,"tons",0.00674471245761521,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311810/US",0.000318740707620992,"tons",9.76958110988929e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3118A0/US",0.00326841127428378,"tons",1.00178635113531e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311910/US",0.0780058390083733,"tons",0.000239092263089109,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311920/US",0.00922054521638934,"tons",2.82614872261722e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311930/US",0.00192200231620975,"tons",5.89104468699798e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311940/US",0.0835380474486139,"tons",0.000256048791634566,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311990/US",0.0175526420258562,"tons",5.37998303525006e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312110/US",0.00163649653977552,"tons",5.01595350048636e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312120/US",0.153729424939579,"tons",0.000471189292743148,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312130/US",0.0137230117857215,"tons",4.2061799295492e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312140/US",1.2000012455667,"tons",0.00367807099006389,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312200/US",0.00825667326087555,"tons",2.53071657279164e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313100/US",5.89149538350456e-05,"tons",1.80577631383458e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313200/US",0.0021663159185714,"tons",6.63987955416518e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313300/US",0.00482438412098743,"tons",1.47870073851039e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","314110/US",0.000588949334213125,"tons",1.80516267694685e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","314120/US",1.01633359106209e-05,"tons",3.11511934785335e-08,"kg / million $","Manufacturing"
"Releases to Ground","111,112","314900/US",0.00678388366933515,"tons",2.07929831875852e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","315000/US",0.000350669170480509,"tons",1.07482063691111e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","316000/US",0.2550759642391,"tons",0.000781822108765684,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321100/US",0.0546254623370038,"tons",0.000167430099829337,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321200/US",0.0710249974819659,"tons",0.000217695593044498,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321910/US",0.0519397205925257,"tons",0.000159198151042897,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3219A0/US",0.0213742822684481,"tons",6.55133716197848e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322110/US",0.149051736761597,"tons",0.000456851916634945,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322120/US",1.43136504682149,"tons",0.00438721399194826,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322130/US",3.41478954395162,"tons",0.0104665211016932,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322210/US",9.50001662681665e-05,"tons",2.91180827430872e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322220/US",0.0427448995908686,"tons",0.000131015509974843,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322230/US",3.38531017880797e-06,"tons",1.03761651973631e-08,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322291/US",0.0219971828278824,"tons",6.74225967025204e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322299/US",0.000448315566162794,"tons",1.37411230562409e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","323110/US",0.0022044228376076,"tons",6.75667939411996e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","323120/US",1.8162963878001e-06,"tons",5.56705009932763e-09,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324110/US",13.7667872141173,"tons",0.0421959734339399,"kg / million $","Fuels"
"Releases to Ground","111,112","324121/US",0.0101413626583289,"tons",3.10838442302629e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324122/US",0.00125528517457195,"tons",3.84751932709036e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324190/US",0.140964501772067,"tons",0.000432064088693339,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325110/US",1.67980325400228,"tons",0.00514869100376888,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325120/US",0.115385356977487,"tons",0.000353662578055609,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325130/US",0.173680480221008,"tons",0.000532340393979823,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325180/US",231.658124214325,"tons",0.710045118230643,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325190/US",32.7933195388763,"tons",0.100513360056452,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325211/US",1.56327327234593,"tons",0.00479152008699994,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3252A0/US",0.270016800490115,"tons",0.000827616608217395,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325310/US",142.472145407025,"tons",0.436685100827768,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325320/US",116.706977388076,"tons",0.357713418594334,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325411/US",0.881572286792137,"tons",0.00270206840674001,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325412/US",0.0129391091111316,"tons",3.96590937173983e-05,"kg / million $","Manufacturing"
