"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111,112","1111A0/US",87.8793911221929,"tons",0.726695807917027,"kg / million $","Agriculture"
"Releases to Ground","111,112","1111B0/US",379.138842571889,"tons",1.51825406302471,"kg / million $","Agriculture"
"Releases to Ground","111,112","111200/US",11.4128207694146,"tons",0.120291798815027,"kg / million $","Agriculture"
"Releases to Ground","111,112","111300/US",7.32463226040233,"tons",0.0951809823047701,"kg / million $","Agriculture"
"Releases to Ground","111,112","111400/US",29.5887081382204,"tons",0.616857334248594,"kg / million $","Agriculture"
"Releases to Ground","111,112","111900/US",49.0504635079768,"tons",0.200966790383001,"kg / million $","Agriculture"
"Releases to Ground","111,112","112120/US",0.221280171913475,"tons",0.00461318879928721,"kg / million $","Agriculture"
"Releases to Ground","111,112","1121A0/US",313.218910051028,"tons",1.07642111894137,"kg / million $","Agriculture"
"Releases to Ground","111,112","112300/US",132.227997600546,"tons",0.966352299596933,"kg / million $","Agriculture"
"Releases to Ground","111,112","112A00/US",22.2418242154514,"tons",0.0764371771340147,"kg / million $","Agriculture"
"Releases to Ground","111,112","113000/US",0.0261313901511849,"tons",0.000544780109816561,"kg / million $","Agriculture"
"Releases to Ground","111,112","114000/US",0.000606285042120012,"tons",1.26396655484209e-05,"kg / million $","Agriculture"
"Releases to Ground","111,112","115000/US",150.063044934965,"tons",0.459951632796258,"kg / million $","Agriculture"
"Releases to Ground","111,112","212100/US",13.3995420301772,"tons",0.160968192247373,"kg / million $","Fuels"
"Releases to Ground","111,112","212310/US",6.25980421676011,"tons",0.0191866503290768,"kg / million $","Minerals"
"Releases to Ground","111,112","2123A0/US",12.01967217161,"tons",0.0549574194210926,"kg / million $","Minerals"
"Releases to Ground","111,112","221100/US",41.2227477080451,"tons",0.126350029248579,"kg / million $","Purchased Electricity"
"Releases to Ground","111,112","221200/US",6.95627156530216,"tons",0.0213213617384717,"kg / million $","Fuels"
"Releases to Ground","111,112","221300/US",81.5583413830053,"tons",0.249980881725581,"kg / million $","Utilities"
"Releases to Ground","111,112","230301/US",36.8572730851793,"tons",0.135880865410387,"kg / million $","Construction"
"Releases to Ground","111,112","311111/US",0.00158180082571856,"tons",5.15156282696004e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311119/US",694.82269009903,"tons",4.36779218656632,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311210/US",9.91073676222035,"tons",0.0816848482456553,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311221/US",0.0820781431026132,"tons",0.00171114278858805,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311224/US",13.4433861865793,"tons",0.0762354757377374,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311225/US",4.19918428949825e-05,"tons",8.75434511955769e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311230/US",0.000505044390600898,"tons",1.05290279997338e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311300/US",3.4370879243629,"tons",0.0283286714443678,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311410/US",0.0035195958607239,"tons",7.3375576592818e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311420/US",0.0273325582210241,"tons",0.000569821734820406,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311513/US",0.0238058277258686,"tons",0.000496297417310757,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311514/US",3.71828707178452,"tons",0.0446676421368722,"kg / million $","Manufacturing"
"Releases to Ground","111,112","31151A/US",0.0157536929924277,"tons",0.000328428703898938,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311520/US",0.00936948418761093,"tons",0.000195332456295662,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311615/US",0.0111340572876443,"tons",0.000232119796029745,"kg / million $","Manufacturing"
"Releases to Ground","111,112","31161A/US",1.09803099211112,"tons",0.0131906048306472,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311700/US",0.00671890907432308,"tons",0.000140073987728174,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311810/US",0.0058872312017569,"tons",0.000122735393794699,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3118A0/US",0.00135900951815506,"tons",2.83322605593829e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311910/US",0.00260664124452162,"tons",5.43425472287196e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311920/US",0.00790044762961812,"tons",0.000164706381955274,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311930/US",0.000525585583655347,"tons",1.09572652019348e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311940/US",0.00725509802041589,"tons",0.000151252308944339,"kg / million $","Manufacturing"
"Releases to Ground","111,112","311990/US",0.000887129345688574,"tons",1.84946311531689e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312110/US",0.00156587809464117,"tons",3.26450003395354e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312120/US",1.11417049376749,"tons",0.00918305569875661,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312130/US",6.89525583011791e-05,"tons",1.43750416897533e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312140/US",4.86388537191651,"tons",0.0400884160301572,"kg / million $","Manufacturing"
"Releases to Ground","111,112","312200/US",0.0150229621205,"tons",0.000313194625560513,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313100/US",0.0204476394806939,"tons",0.000413751657925116,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313200/US",0.00175358431519423,"tons",3.65582485385223e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","313300/US",0.0324419191540945,"tons",0.000676340300962755,"kg / million $","Manufacturing"
"Releases to Ground","111,112","314120/US",0.00189888375582491,"tons",3.95874117313375e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","314900/US",2.0559305230842,"tons",0.00970085460138179,"kg / million $","Manufacturing"
"Releases to Ground","111,112","315000/US",0.00329139288981186,"tons",6.86180631641537e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","316000/US",0.622017163457545,"tons",0.00604027983742841,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321100/US",0.0817023074691051,"tons",0.000949448421991184,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321200/US",0.000178662706399281,"tons",3.72471147723883e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","321910/US",0.385805160693638,"tons",0.00379895784963664,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3219A0/US",11.7884505411947,"tons",0.036132260790192,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322120/US",0.0248373812277456,"tons",0.000517802963964911,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322130/US",0.00112388263208038,"tons",6.51088454928448e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322210/US",5.07186195343482,"tons",0.0301436982190996,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322220/US",16.3761868633284,"tons",0.113490067496289,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322230/US",0.0342692222519075,"tons",0.000351887259608999,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322291/US",0.161454840353162,"tons",0.00101956961663387,"kg / million $","Manufacturing"
"Releases to Ground","111,112","322299/US",0.149106035796524,"tons",0.00179120517561607,"kg / million $","Manufacturing"
"Releases to Ground","111,112","323110/US",0.305763880702864,"tons",0.00111874192262517,"kg / million $","Manufacturing"
"Releases to Ground","111,112","323120/US",0.00010359252030489,"tons",2.15966866903608e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324110/US",135.945453468712,"tons",0.416680424692575,"kg / million $","Fuels"
"Releases to Ground","111,112","324121/US",0.0367303019973173,"tons",0.000765743339329639,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324122/US",0.00277408669607441,"tons",9.0345646998695e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","324190/US",1.93258735811825,"tons",0.014573800939296,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325110/US",0.00219262402989643,"tons",4.57112290192967e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325120/US",0.0170867373919405,"tons",0.00035621965073167,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325130/US",0.0657399357418614,"tons",0.00137052828822277,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325180/US",158.488923175347,"tons",0.544669617796787,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325190/US",21.9752116388785,"tons",0.305521997099926,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325211/US",7.44947457250305e-05,"tons",1.55304618399717e-06,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3252A0/US",1.27371145368979e-06,"tons",7.37887390316255e-08,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325310/US",618.05282596271,"tons",2.61919626710877,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325320/US",408.550689829823,"tons",1.2522307337473,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325411/US",1.26352013972035e-05,"tons",4.11499556522348e-07,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325412/US",0.206001517806332,"tons",0.00116820446089244,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325414/US",8.19051899742319,"tons",0.0464472346209089,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325510/US",0.00431341747823899,"tons",8.99249536241436e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325520/US",0.542490054022507,"tons",0.00754225476575484,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325610/US",7.258982522783,"tons",0.0499624147797471,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325620/US",0.00308160557739445,"tons",6.4244474371684e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","325910/US",0.0102069163274408,"tons",0.000212791013626939,"kg / million $","Manufacturing"
"Releases to Ground","111,112","3259A0/US",5.56011904742267,"tons",0.0204983636798775,"kg / million $","Manufacturing"
"Releases to Ground","111,112","326110/US",1.1851226317152,"tons",0.00704356295400638,"kg / million $","Manufacturing"
"Releases to Ground","111,112","326120/US",4.37781043456294,"tons",0.0248234019793927,"kg / million $","Manufacturing"
"Releases to Ground","111,112","326140/US",0.00136725234753196,"tons",2.85041048228212e-05,"kg / million $","Manufacturing"
"Releases to Ground","111,112","326150/US",0.00265044637619261,"tons",5.52557846915633e-05,"kg / million $","Manufacturing"
