"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111/112","111900/US",10.1205724810774,"tons",0.0316555271268923,"kg / million $","Agriculture"
"Releases to Ground","111/112","112A00/US",0.0028131865961185,"tons",8.79919636689949e-06,"kg / million $","Agriculture"
"Releases to Ground","111/112","113000/US",0.0931202653767252,"tons",0.000291265251269909,"kg / million $","Agriculture"
"Releases to Ground","111/112","114000/US",0.000709782904304232,"tons",2.22008705766565e-06,"kg / million $","Agriculture"
"Releases to Ground","111/112","115000/US",0.367941482709991,"tons",0.00115086193086532,"kg / million $","Agriculture"
"Releases to Ground","111/112","211000/US",0.230346131064895,"tons",0.000720485744668392,"kg / million $","Fuels"
"Releases to Ground","111/112","212100/US",15.3776152604278,"tons",0.0480987135790529,"kg / million $","Fuels"
"Releases to Ground","111/112","2122A0/US",4256.86439746288,"tons",13.3147889273397,"kg / million $","Minerals"
"Releases to Ground","111/112","212310/US",0.0658011250912559,"tons",0.00020581536313295,"kg / million $","Minerals"
"Releases to Ground","111/112","2123A0/US",0.562422800502041,"tons",0.00175916829323274,"kg / million $","Minerals"
"Releases to Ground","111/112","213111/US",5.4751704437628e-05,"tons",1.71254547932887e-07,"kg / million $","Fuels"
"Releases to Ground","111/112","21311A/US",35.8724542073278,"tons",0.112203281918236,"kg / million $","Minerals"
"Releases to Ground","111/112","221100/US",57.1146500332853,"tons",0.178645462680304,"kg / million $","Purchased Electricity"
"Releases to Ground","111/112","221200/US",2.17053774879356,"tons",0.00678909386947682,"kg / million $","Fuels"
"Releases to Ground","111/112","221300/US",4.4829985280515,"tons",0.014022100210229,"kg / million $","Utilities"
"Releases to Ground","111/112","230301/US",4.3926623657638e-05,"tons",1.37395431867815e-07,"kg / million $","Construction"
"Releases to Ground","111/112","230302/US",1.24464751999715e-06,"tons",3.89305776984017e-09,"kg / million $","Construction"
"Releases to Ground","111/112","2334A0/US",1.15427295461313e-06,"tons",3.61038062766825e-09,"kg / million $","Construction"
"Releases to Ground","111/112","311111/US",0.00759677859276374,"tons",2.37615047241505e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311119/US",3.22878058661595,"tons",0.0100991076974653,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311210/US",0.212643375886638,"tons",0.00066511436643719,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311221/US",23.6999776482552,"tons",0.0741297280123049,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311224/US",0.40740705019104,"tons",0.00127430389467817,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311225/US",2.61694624382682,"tons",0.00818538802681051,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311230/US",5.6116142866952e-05,"tons",1.75522292449632e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311300/US",2.04261200562351,"tons",0.00638896266734187,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311410/US",0.391433372520548,"tons",0.00122434079350381,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311420/US",0.253064526769827,"tons",0.00079154524183237,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311513/US",2.1399039051807,"tons",0.00669327612109342,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311514/US",19.2071701391201,"tons",0.0600769468828532,"kg / million $","Manufacturing"
"Releases to Ground","111/112","31151A/US",0.251488003489945,"tons",0.000786614129926814,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311520/US",0.0444582651860305,"tons",0.000139058321279978,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311615/US",0.513565361157591,"tons",0.00160635006092321,"kg / million $","Manufacturing"
"Releases to Ground","111/112","31161A/US",16.573055782459,"tons",0.0518378597532935,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311700/US",2.27606660637939,"tons",0.00711917120652707,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311810/US",0.000313155166303227,"tons",9.79499122245602e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","3118A0/US",0.00322092041735851,"tons",1.00745223489965e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311910/US",0.078803225381942,"tons",0.000246483846978893,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311920/US",0.00907962778235288,"tons",2.83996191029462e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311930/US",0.00190958267660702,"tons",5.97286826742257e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311940/US",0.0862683567851266,"tons",0.000269833580413554,"kg / million $","Manufacturing"
"Releases to Ground","111/112","311990/US",0.0176248089687513,"tons",5.5127574992399e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","312110/US",0.00161003198761728,"tons",5.03592176771382e-06,"kg / million $","Manufacturing"
