"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Smog Formation Potential","111,112","1111A0/US",124.408561800511,"Thousand MT O3 eq",1.02876430042295,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","1111B0/US",676.089276403408,"Thousand MT O3 eq",2.70738625434369,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","111200/US",16.7287715998471,"Thousand MT O3 eq",0.176322231669863,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","111300/US",10.0329115393791,"Thousand MT O3 eq",0.130374105039713,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","111400/US",60.8511501989096,"Thousand MT O3 eq",1.26860821778067,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","111900/US",95.5173000176861,"Thousand MT O3 eq",0.391348090064079,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","112120/US",0.298699487654856,"Thousand MT O3 eq",0.00622720562301902,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","1121A0/US",607.115573715132,"Thousand MT O3 eq",2.08643860320792,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","112300/US",222.801487651501,"Thousand MT O3 eq",1.62828397807301,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","112A00/US",55.3439007457304,"Thousand MT O3 eq",0.190197148561669,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","113000/US",0.0520778156892816,"Thousand MT O3 eq",0.00108570412772039,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","114000/US",0.000297681391432358,"Thousand MT O3 eq",6.20598063006276e-06,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","115000/US",237.332235998141,"Thousand MT O3 eq",0.727436588467474,"MT O3 eq / million $","Agriculture"
"Smog Formation Potential","111,112","212100/US",4.17558222176698,"Thousand MT O3 eq",0.0501611114995109,"MT O3 eq / million $","Fuels"
"Smog Formation Potential","111,112","212310/US",4.06898356922885,"Thousand MT O3 eq",0.0124716624089499,"MT O3 eq / million $","Minerals"
"Smog Formation Potential","111,112","2123A0/US",9.39602087871551,"Thousand MT O3 eq",0.0429613264778204,"MT O3 eq / million $","Minerals"
"Smog Formation Potential","111,112","221100/US",98.7652093663438,"Thousand MT O3 eq",0.302720895282391,"MT O3 eq / million $","Purchased Electricity"
"Smog Formation Potential","111,112","221200/US",13.2219814082583,"Thousand MT O3 eq",0.0405261131424183,"MT O3 eq / million $","Fuels"
"Smog Formation Potential","111,112","221300/US",40.2769392276166,"Thousand MT O3 eq",0.123451073312597,"MT O3 eq / million $","Utilities"
"Smog Formation Potential","111,112","230301/US",14.3226077900212,"Thousand MT O3 eq",0.0528028304466236,"MT O3 eq / million $","Construction"
"Smog Formation Potential","111,112","311111/US",0.000962835082850817,"Thousand MT O3 eq",3.1357332356013e-05,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311119/US",488.571354200587,"Thousand MT O3 eq",3.07125569424525,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311210/US",18.4722043343349,"Thousand MT O3 eq",0.152248944151639,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311221/US",0.0361485173627424,"Thousand MT O3 eq",0.000753614451609559,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311224/US",22.7891731801608,"Thousand MT O3 eq",0.129234066101118,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311225/US",4.63139104243332e-05,"Thousand MT O3 eq",9.65539799491246e-07,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311230/US",0.000586650208398685,"Thousand MT O3 eq",1.22303238789174e-05,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311300/US",3.70075995034665,"Thousand MT O3 eq",0.030501871070778,"MT O3 eq / million $","Manufacturing"
"Smog Formation Potential","111,112","311410/US",0.00149980997417246,"Thousand MT O3 eq",3.12676301454477e-05,"MT O3 eq / million $","Manufacturing"
