"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Sulfur dioxide","111/112","1111A0/US",573.397462387583,"tons",5.09834975089165,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","1111B0/US",3838.97881060875,"tons",15.2591623957704,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111200/US",81.9218466018792,"tons",0.969345888418687,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111300/US",47.7953841234166,"tons",0.687772149023718,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111400/US",214.281527993887,"tons",4.52963385818447,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111900/US",569.642508187166,"tons",2.30119249765789,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112120/US",1.40381385476301,"tons",0.0296748059744301,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","1121A0/US",2298.35160775482,"tons",8.07152219302207,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112300/US",996.178287770259,"tons",7.5484844492175,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112A00/US",131.048562387626,"tons",0.460226092520566,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","113000/US",0.265851494582471,"tons",0.00561975613289476,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","114000/US",0.00419584026313266,"tons",8.86946266313796e-05,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","115000/US",2186.06620146177,"tons",6.8376643782693,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","212100/US",50.5825981038091,"tons",0.614852507686984,"kg / million $","Fuels"
"Sulfur dioxide","111/112","212310/US",64.0247399515578,"tons",0.20025911539275,"kg / million $","Minerals"
"Sulfur dioxide","111/112","2123A0/US",177.395041183871,"tons",0.860109224030078,"kg / million $","Minerals"
"Sulfur dioxide","111/112","221100/US",4474.56899635348,"tons",13.9957339873861,"kg / million $","Purchased Electricity"
"Sulfur dioxide","111/112","221200/US",284.353768121082,"tons",0.889412969199221,"kg / million $","Fuels"
"Sulfur dioxide","111/112","221300/US",480.103689176109,"tons",1.50168731905742,"kg / million $","Utilities"
"Sulfur dioxide","111/112","230301/US",142.627780592895,"tons",0.553616547890629,"kg / million $","Construction"
"Sulfur dioxide","111/112","311111/US",0.0105984429332926,"tons",0.000343149593638422,"kg / million $","Manufacturing"
"Sulfur dioxide","111/112","311119/US",4517.00039681219,"tons",26.785670823546,"kg / million $","Manufacturing"
