"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Sulfur dioxide","111/112","1111A0/US",29.5289605446304,"tons",0.0923618513969647,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","1111B0/US",2224.62980718261,"tons",6.95828515039355,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111200/US",2.16550802468163,"tons",0.00677336169934873,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111300/US",0.148286341932834,"tons",0.000463815888713712,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111400/US",8.5137224684488,"tons",0.0266295580664744,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","111900/US",400.282921584633,"tons",1.25202076328642,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112120/US",0.450871148143442,"tons",0.00141025262034074,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","1121A0/US",7.93318910045385,"tons",0.0248137428235136,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112300/US",2.39019080488841,"tons",0.00747613339107661,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","112A00/US",0.696810347868367,"tons",0.00217951098225801,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","113000/US",3.76053486392289,"tons",0.0117623497701449,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","114000/US",0.0339241382883071,"tons",0.000106109262282328,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","115000/US",1259.71919033983,"tons",3.94019953679778,"kg / million $","Agriculture"
"Sulfur dioxide","111/112","211000/US",4345.07046226021,"tons",13.5906833475584,"kg / million $","Fuels"
"Sulfur dioxide","111/112","212100/US",16.5888485251055,"tons",0.0518872569187393,"kg / million $","Fuels"
"Sulfur dioxide","111/112","212230/US",7.16784760200724,"tons",0.022419877396364,"kg / million $","Minerals"
"Sulfur dioxide","111/112","2122A0/US",56.2111565281699,"tons",0.175819479939345,"kg / million $","Minerals"
"Sulfur dioxide","111/112","212310/US",43.3610130972894,"tons",0.135626292773179,"kg / million $","Minerals"
"Sulfur dioxide","111/112","2123A0/US",378.773968550942,"tons",1.18474420877312,"kg / million $","Minerals"
"Sulfur dioxide","111/112","213111/US",0.123013978169981,"tons",0.000384767989185157,"kg / million $","Fuels"
"Sulfur dioxide","111/112","21311A/US",26.4628415396949,"tons",0.0827715230319942,"kg / million $","Minerals"
"Sulfur dioxide","111/112","221100/US",10121.2053836858,"tons",31.657506744718,"kg / million $","Purchased Electricity"
"Sulfur dioxide","111/112","221200/US",494.645132266472,"tons",1.54717062023152,"kg / million $","Fuels"
"Sulfur dioxide","111/112","221300/US",210.058509293377,"tons",0.657029318410967,"kg / million $","Utilities"
