"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"sector purchases","111-112","1111A0/US",409.399559853412,"million USD",0.00502029848208597,"USD/USD","Agriculture"
"sector purchases","111-112","1111B0/US",6519.8105093677,"million USD",0.0319849222320785,"USD/USD","Agriculture"
"sector purchases","111-112","111200/US",1.49484056749999,"million USD",2.15106485367401e-05,"USD/USD","Agriculture"
"sector purchases","111-112","111300/US",0.0526174649079145,"million USD",1.1122650319421e-06,"USD/USD","Agriculture"
"sector purchases","111-112","111400/US",0.538838501739564,"million USD",1.7446167712791e-05,"USD/USD","Agriculture"
"sector purchases","111-112","111900/US",1165.69008837575,"million USD",0.00509573583763486,"USD/USD","Agriculture"
"sector purchases","111-112","112120/US",8.27233872383798,"million USD",0.000174866522190079,"USD/USD","Agriculture"
"sector purchases","111-112","1121A0/US",3684.62806503958,"million USD",0.0165476378155213,"USD/USD","Agriculture"
"sector purchases","111-112","112300/US",12.5465734452464,"million USD",0.000129333627945721,"USD/USD","Agriculture"
"sector purchases","111-112","112A00/US",840.823463735344,"million USD",0.00331212231286464,"USD/USD","Agriculture"
"sector purchases","111-112","113000/US",4.46140090565835,"million USD",9.43082345286498e-05,"USD/USD","Agriculture"
"sector purchases","111-112","114000/US",0.0754424578827303,"million USD",1.59475580918958e-06,"USD/USD","Agriculture"
"sector purchases","111-112","115000/US",18294.5942155878,"million USD",0.057222555794134,"USD/USD","Agriculture"
"sector purchases","111-112","212100/US",335.052833546437,"million USD",0.00407270647685736,"USD/USD","Fuels"
"sector purchases","111-112","212310/US",330.399481774356,"million USD",0.00103343657461815,"USD/USD","Minerals"
"sector purchases","111-112","2123A0/US",406.94149867021,"million USD",0.00197307734371267,"USD/USD","Minerals"
"sector purchases","111-112","221100/US",2668.79378063729,"million USD",0.00834755880430707,"USD/USD","Purchased Electricity"
"sector purchases","111-112","221200/US",931.946014023725,"million USD",0.00291497762432769,"USD/USD","Fuels"
"sector purchases","111-112","221300/US",3957.478505788,"million USD",0.0123783578871943,"USD/USD","Utilities"
"sector purchases","111-112","230301/US",1261.7297356,"million USD",0.0048974642786289,"USD/USD","Construction"
"sector purchases","111-112","311111/US",0.0589354611277648,"million USD",1.90817459358651e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311119/US",19940.2283696852,"million USD",0.118244929452223,"USD/USD","Manufacturing"
"sector purchases","111-112","311210/US",578.772930122935,"million USD",0.0047064100184065,"USD/USD","Manufacturing"
"sector purchases","111-112","311221/US",0.919709294077366,"million USD",1.94414628136244e-05,"USD/USD","Manufacturing"
"sector purchases","111-112","311224/US",1116.26858108137,"million USD",0.00603206599285413,"USD/USD","Manufacturing"
"sector purchases","111-112","311225/US",0.00213320292553922,"million USD",4.50931458645202e-08,"USD/USD","Manufacturing"
"sector purchases","111-112","311230/US",0.0331998226468575,"million USD",7.01801233894578e-07,"USD/USD","Manufacturing"
"sector purchases","111-112","311300/US",158.95708891597,"million USD",0.00129259195935779,"USD/USD","Manufacturing"
"sector purchases","111-112","311410/US",0.0852546087585497,"million USD",1.80217196514491e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311420/US",0.676387413270898,"million USD",1.42979535244357e-05,"USD/USD","Manufacturing"
"sector purchases","111-112","311513/US",0.318697934137575,"million USD",6.73686139219704e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311514/US",45.4079711128183,"million USD",0.000551952765462871,"USD/USD","Manufacturing"
"sector purchases","111-112","31151A/US",0.53711266235481,"million USD",1.13538657477343e-05,"USD/USD","Manufacturing"
"sector purchases","111-112","311520/US",0.303593297624289,"million USD",6.41756894731534e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311615/US",0.394512367717382,"million USD",8.33948028565558e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","31161A/US",35.0713831804557,"million USD",0.000426307242113181,"USD/USD","Manufacturing"
"sector purchases","111-112","311700/US",0.322323783774593,"million USD",6.81350715552663e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311810/US",0.448416261131853,"million USD",9.47893874940669e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","3118A0/US",0.0760213452664493,"million USD",1.60699273841964e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311910/US",0.145459658369768,"million USD",3.07482870651569e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311920/US",0.389191453530054,"million USD",8.2270030540199e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311930/US",0.0354302770973763,"million USD",7.48950150988805e-07,"USD/USD","Manufacturing"
"sector purchases","111-112","311940/US",0.353494620076071,"million USD",7.4724182470283e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","311990/US",0.0539622080508478,"million USD",1.1406911596061e-06,"USD/USD","Manufacturing"
"sector purchases","111-112","312110/US",0.0376713682202623,"million USD",7.96323913554987e-07,"USD/USD","Manufacturing"
"sector purchases","111-112","312120/US",37.5247969747621,"million USD",0.000305140533063939,"USD/USD","Manufacturing"
"sector purchases","111-112","312130/US",0.00757587060868977,"million USD",1.60144088646431e-07,"USD/USD","Manufacturing"
"sector purchases","111-112","312140/US",431.161366893516,"million USD",0.00350607651305749,"USD/USD","Manufacturing"
"sector purchases","111-112","312200/US",1.29008847589467,"million USD",2.72707988186122e-05,"USD/USD","Manufacturing"
